Title,Abstract,Keywords,Source,Year,Document_Type,Authors,DOI
Towards a Cognition-Based Framework Describing Interdisciplinary Expert Team Processes for Cognitive Robotics in Industry 5.0 Technologies,"With the evolution of traditional production towards smart manufacturing, humans and machines interact dynamically to handle complex production systems in semi-automated environments when full automation is not possible. To avoid undesirable side effects, and to exploit the full performance potential of experts, it is crucial to consider the human perspective when developing new technologies. Specifically, human sub-tasks during machine operation must be described to gain insights into cognitive processes. This research proposes a cognition-based framework by integrating a number of known psychological concepts. The focus is on the description of cognitive (team) processes in the resolution of anomalies within a manufacturing process with interdisciplinary experts working together. An observational eye tracking study with retrospective think-aloud interviews (N = 3) provides empirical evidence for all cognitive processes proposed in the framework, such as regular process monitoring and—in case of a detected anomaly—diagnosis, problem solving, and resolution. Moreover, the role of situation awareness, individual expertise and (cognitive) team processes is analyzed and described. Further, implications regarding a human-centered development of future production systems are discussed. The present research provides a starting point for understanding and supporting cognitive (team) processes during intelligent manufacturing that will dominate the production landscape within Industry 5.0. © 2024 by the authors.",cognitive robotics; cognitive systems engineering; expertise; human-cyber-physical production systems; Industry 5.0; robotic roll forming; situation awareness,Applied Sciences (Switzerland),2024,Journal,Morgenstern T.; Klichowicz A.; Bengler P.; Todtermuschke M.; Bocklisch F.,10.3390/app14104121
Updating design guidelines for cognitive ergonomics in human-centred collaborative robotics applications: An expert survey,"Within the framework of Industry 5.0, human factors are essential for enhancing the work conditions and well-being of operators interacting with even more advanced and smart manufacturing systems and machines and increasing production performances. Nevertheless, cognitive ergonomics is often underestimated when implementing advanced industrial human-robot interaction. Thus, this work aims to systematically update, develop, and validate guidelines to assist non-experts in the early stages of the design of anthropocentric and collaborative assembly applications by focusing on the main features that have positively influenced workers' cognitive responses. A methodology for structured development has been proposed. The draft guidelines have been created starting from the outcomes of a systematic and extended screening of the scientific literature. Preliminary validation has been carried out with the help of researchers working in the field. Inputs on comprehensibility and relevance have been gathered to enhance the guidelines. Lastly, a survey was used to examine in depth how international experts in different branches can interpret such guidelines. In total, 108 responders were asked to qualitatively and quantitatively evaluate the guideline's comprehensibility and provide general comments or suggestions for each guideline. Based on the survey's results, the guidelines have been validated and some have been reviewed and re-written in their final form. The present work highlights that integrating human factors into the design of collaborative applications can significantly bolster manufacturing operations' resilience through inclusivity and system adaptability by enhancing worker safety, ergonomics, and wellbeing. © 2024 The Authors",Cognitive ergonomics; Collaborative robotics; Human-centred design; Human-robot interaction; Industry 5.0,Applied Ergonomics,2024,Journal,Gualtieri L.; Fraboni F.; Brendel H.; Pietrantoni L.; Vidoni R.; Dallasega P.,10.1016/j.apergo.2024.104246
Cognitive intelligence in industrial robots and manufacturing,"The transition from manual to autonomous manufacturing processes, which has been propelled by consecutive industrial revolutions, is concurrently contingent upon advancements in artificial intelligence (AI). AI does have dependency on data, making it incompatible in handling industrial uncertainties. Human cognition, adept at navigating uncertain situations, presents a potential solution. This article aims to illuminate the synergy between human cognition and AI algorithms. It underscores the disparity between AI methods and cognitive requirements in manufacturing and robotics through a survey, also proposes methods to infuse cognition into machines and robots for autonomous learning. It outlines the significance of reinforcement learning as a cognitive algorithm, tracing its evolution and showcasing its application in guiding robots for pick-and-place operations in manufacturing. © 2024 Elsevier Ltd",Artificial intelligence; Brain; Cognitive intelligence; Manufacturing; Reinforcement learning; Robotics,Computers and Industrial Engineering,2024,Journal,Mukherjee A.; Divya A.B.; Sivvani M.; Pal S.K.,10.1016/j.cie.2024.110106
The Role of automation and User Experience in Multi Robot Systems,"This research delves into the realm of multi-robot systems, with a focus on integrating remote operation technologies. It aims to examine how different levels of automation impact user experience and efficiency in controlling multiple robots simultaneously. Through a unique approach that blends automation with human interaction, the study aims to advance capabilities in multi-presence environments, laying groundwork for future advancements. At its core is the development of a state-of-the-art multi-presence system, integrating advanced robotic arms for remote manipulation tasks. Special attention is given to automation features to enhance user control. The research outlines a comprehensive experimental setup to rigorously test system performance, assessing aspects like user efficiency and cognitive load. By comparing scenarios with varying automation levels, the research seeks to identify an optimal balance for efficiency and user comfort, providing insights crucial for future multi-robot system design and implementation in multi-presence environments. © 2024 IEEE.",,IEEE International Conference on Automation Science and Engineering,2024,Conference,Suzuki K.; Shi M.; Vitvasin V.; Iwasaki Y.; Iwata H.,10.1109/CASE59546.2024.10711808
Assessing user performance in augmented reality assembly guidance for industry 4.0 operators,"In the realm of smart manufacturing, Augmented Reality (AR) technology has gained increasing attention among researchers and manufacturers due to its practicality and adaptability. For this reason, it has been widely embraced in various industrial fields, especially for helping operators assemble products. Despite its widespread adoption, there is a debate in the research community about how effective AR is for improving user performance in assembly tasks, particularly when using handheld devices. These disparities can be attributed to differences in experimental approaches, such as the frequent use of qualitative methods, the inclusion of non-representative users, and the limited number of comprehensive case studies. In response to this, the paper delved into the benefits of AR applications, with a specific focus on measuring user performance and the cognitive workload perceived by users during assembly activities. To this end, an AR assembly guidance tool has been developed to assist users during assembly tasks, running on a mobile device, specifically a tablet, for freedom of movement and high portability. Experimentation involved the assembly of a comprehensive case study and a diverse user group, allowing the comparison representative users and experienced industrial operators. The results were promising, indicating that AR technology effectively enhances user performance during assembly-guided activities compared to conventional methods, particularly when users are unfamiliar with the task at hand. This study brings valuable insights by addressing previous research limitations and providing strong evidence of AR's positive impact on user performance in real-world assembly scenarios. © 2024 The Authors",AR Foundation; Assembly guidance; Augmented Reality; Hand-held devices; Industry 4.0; User performance,Computers in Industry,2024,Journal,Marino E.; Barbieri L.; Bruno F.; Muzzupappa M.,10.1016/j.compind.2024.104085
"GRAAL—modeling, prototyping and assessing a gamified responsible augmented assembly line system","Human errors are prevalent in manual assembly line statistics, but humans are still a necessary and numerous working force for assembly tasks. Since faster and shorter production cycles lead to higher mental efforts, an alternative to decrease the cognitive load and errors of manual assembly lines is using augmented reality (AR). AR increases system interaction and assists operators in the step-by-step of any tasks performed. Its use allows granular production data, enabling an increase in quality control and timely detection of assembly problems. However, AR alone is not enough to avoid demotivation and lack of engagement in the task, which is repetitive. Gamification can become an auxiliary resource to increase operators’ motivation and engagement. This paper presents a system model to integrate AR and gamification for a manual assembly line of printed circuit boards (PCBs) called GRAAL, used to develop an actual system for PCB assembly, which can guide operators using AR but also tracks down their efficiency and efficacy which is then used for gamifying their performance. A prototype system was implemented and assessed by 34 specialist respondents. TAM 3 (Technology Acceptance Model 3) Questionnaire was used to assess the system, which allowed us to find that GRAAL was well accepted (all scores were above the center of a Likert scale from 1 to 7 values), suggesting that GRAAL may be useful as an auxiliary resource to manual assembly lines. We conclude that modeling a system that merges AR and gamification is feasible but a non-trivial task in industry. The system’s features are dependent on conditioning factors such as Application Environment, Application Context, Application Audience, AR hardware, and gamification elements. © The Author(s), under exclusive licence to Springer-Verlag London Ltd., part of Springer Nature 2024.",Augmented reality; Gamification; Industry 4.0; Manual assembly lines; Manufacturing,International Journal of Advanced Manufacturing Technology,2024,Journal,Agati S.S.; Hounsell M.D.S.; Paterno A.S.,10.1007/s00170-024-13460-8
"Working Conditions of Industrial Robot Operators-An Overview of Technology Dissemination, Job Characteristics, and Health Indicators in Modern Production Workplaces","Flexible robotic systems change not only the production workflow as a whole but also the individual working conditions of their operators. The aim of this analysis of our study with more than 5900 participants was to get an overview of demographics, job characteristics, and health indicators of robot operators in comparison to nonrobotic machine operators and employees in Germany. We collected data by telephone interviews measuring technology use, stressors, and resources at work as well as health indicators. Results indicate systematic differences in working stressors and resources for robot users compared to other machine users as well as employees in general. In particular, the scope for decision-making at work was smaller for robot users, especially regarding the amount of work or the speed of work. Only isolated links could be found regarding the health indicators. The results therefore imply constant consideration of human factors to ensure productive as well as healthy working conditions with robots in modern industry. © 2013 IEEE.",Cognitive ergonomics; human factors; human-robot interaction; robots,IEEE Transactions on Human-Machine Systems,2024,Journal,Hartwig M.; Rosen P.; Wischniewski S.,10.1109/THMS.2024.3368525
Multimodal data extraction and analysis for the implementation of Temporal Action Segmentation models in Manufacturing,"With Industry 5.0, operators' physical and cognitive behavior is crucial in any field, particularly manufacturing and production lines. To this end, the need to monitor humans performing specific tasks when working alongside robotic systems has grown further. Guaranteeing the well-being of operators sharing a workspace with industrial robots can drastically reduce risky and harmful situations for the operators while leading the robot to adapt to humans fully. For this purpose, monitoring systems can be very helpful in studying the most suitable deep learning methodologies to obtain information from the movements of the individual operator performing a specific task. Therefore, action segmentation can be fundamental to establishing a new and safe way of communication among operators and robots. In this work, a system for segmenting actions performed by operators assembling an industrial object is developed. The public HA4M dataset has been used to train and test temporal action segmentation models by using MS-TCN++ architecture. Highly discriminant features have been extracted from the dataset, and different training approaches based on multimodal data, including RGB and skeletal joints in Depth and RGB resolutions, have been considered. Results show the effectiveness of the proposed system, laying the foundation for further studies for detecting the operators' actions in the challenging context of Human-Robot Interaction and Collaboration. © 2024 IEEE.",,"10th 2024 International Conference on Control, Decision and Information Technologies, CoDIT 2024",2024,Conference,Romeo L.; Marani R.; Cicirelli G.; D'Orazio T.,10.1109/CoDIT62066.2024.10708238
Making Cognitive Ergonomics in the Human–Computer Interaction of Manufacturing Execution Systems Assessable: Experimental and Validation Approaches to Closing Research Gaps,"Cognitive ergonomics and the mental health of production workers have attracted increasing interest in industrial companies. However, there is still not much research available as it is regarding physical ergonomics and muscular load. This paper designs an experiment to analyze the cognitive ergonomics and mental stress of shop floor production workers interacting with different user interfaces of a Manufacturing Execution System (MES) that is adjustable for analyzing the influence of other assistive systems, too. This approach is going to be designed with the Design of Experiments (DoE) method. Therefore, the respective goals and factors are going to be determined. The environment will be the laboratories of the University of Applied Sciences Amberg-Weiden and its Campus for Digitalization in Amberg. In detail, there will be a sample assembly process from the automotive supplier industry for demonstration purposes. At this laboratory, the MES software from the European benchmark SAP is installed, and the respective standard Production Operator Desk is going to be used with slight adaptions. In order to make the cognitive ergonomics measurable, different approaches are going to be used. For instance, body temperature, heart rate and skin conductance as well as subjective methods of self-assessment are planned. The result of this paper is a ready-to-run experiment with sample data for each classification of participants. Further, possible limitations and adjustments are going to be discussed. Finally, an approach to validating the expected results is going to be shown and future intentions are going to be discussed. © 2024 by the authors.",cognitive ergonomics; design of experiments; ergonomic assessment; human–computer interaction; manufacturing execution system; mental workload,Machines,2024,Journal,Dörner A.; Bures M.; Simon M.; Pirkl G.,10.3390/machines12030195
Task reallocation of human-robot collaborative production workshop based on a dynamic human fatigue model,"As collaborative robots become more popular in industry, they are used to collaborate with human workers and free human workers from repeated and heavy work and reduce the risk of physical injuries. However, human workers need to finish tasks that require high cognitive abilities, which increases the risk of mental fatigue. Fatigue can negatively impact workers and even threaten the safety of workers. Currently, the dynamics of human fatigue model are rarely considered. Hence, it is crucial to develop a dynamic allocation method for human-robot collaborative tasks that considers dynamic human fatigue to ensure efficient and safe human-robot collaboration. This paper proposes a task reallocation method for human-robot collaborative production workshop based on a dynamic human fatigue model. A fatigue feature extraction method from multimodal data and a fatigue evaluation network are proposed to evaluate the current fatigue status of human workers. Based on the evaluation results, the human fatigue model is dynamically updated. If the worker's fatigue state changes, a task reallocation scheme is generated by an improved genetic algorithm based on reinforcement learning and the dynamic human fatigue model. The experimental results show that the proposed model and algorithm are effective and efficient, and can provide innovative insights for realizing a human-centered manufacturing workshop. © 2023 Elsevier Ltd",Dynamic human fatigue model; Human-robot collaboration (HRC); Improved genetic algorithm; Reinforcement learning; Task reallocation,Computers and Industrial Engineering,2024,Conference,Yao B.; Li X.; Ji Z.; Xiao K.; Xu W.,10.1016/j.cie.2023.109855
Multimodal Learning-Based Proactive Human Handover Intention Prediction Using Wearable Data Gloves and Augmented Reality,"Efficient object handover between humans and robots holds significant importance within collaborative manufacturing environments. Enhancing the efficacy of human–robot handovers involves enabling robots to comprehend and foresee human handover intentions. This article introduces human-teaching–robot-learning-prediction framework, allowing robots to learn from diverse human demonstrations and anticipate human handover intentions. The framework facilitates human programming of robots through demonstrations utilizing augmented reality and a wearable dataglove, aligned with task requirements and human working preferences. Subsequently, robots enhance their cognitive capabilities by assimilating insights from human handover demonstrations, utilizing deep neural network algorithms. Furthermore, robots can proactively seek clarification from humans via an augmented reality system when confronted with ambiguity in human intentions, mirroring how humans seek clarity from their counterparts. This proactive approach empowers robots to anticipate human intentions and assist human partners during handovers. Empirical results underscore the benefits of the proposed approach, demonstrating highly accurate prediction of human intentions in human–robot handover tasks. © 2023 The Authors. Advanced Intelligent Systems published by Wiley-VCH GmbH.",human intention predictions; human–robot handovers; multimodal learning; robot controls,Advanced Intelligent Systems,2024,Journal,Zou R.; Liu Y.; Zhao J.; Cai H.,10.1002/aisy.202300545
RHYTHMS: Real-time Data-driven Human-machine Synchronization for Proactive Ergonomic Risk Mitigation in the Context of Industry 4.0 and Beyond,"Human-machine work system (HMWS) represents a composite system that integrates machine precision and strength with human cognitive abilities, flexibility, and adaptability, aiming to achieve enhanced performance in various tasks aligned with a common goal, which is getting smarter in the era of Industry 4.0 (I4.0) and has received extensive attention from academia and industry. However, the lack of real-time information sharing during HMWS implementation and operation, coupled with uncertainties stemming from human instability and the complexities introduced by smart networking environments in the context of I4.0, poses challenges to the synchronous coordination of this distributed human-centric manufacturing system. Failure in synchronization not only compromises overall system integrity, leading to unrealistic decision-making and potential harm to human health but also goes against the principles of Industry 5.0 (I5.0), which proposes placing human well-being at the center of the production process for human-centric smart manufacturing in the future. In this context, this research presents real-time data-driven hyper objects orchestrating for the human-machine synchronization (RHYTHMS) based on a service-oriented human-to-machine architecture (SOH2M) and a model reference adaptive fuzzy control for real-time information sharing and synchronous coordination of the smart HMWS. Based on these, a real-life assembly case is carried out by a full-scale HMWS prototype to quantitatively analyze the benefits of the proposed approach in proactive ergonomic risk mitigation (PERM), contributing to the human-centric value-oriented I5.0 era. © 2023 Elsevier Ltd",Assembly Workstation 4.0; Ergonomics; Human-machine system; Industry 4.0; Industry 5.0; synchronization,Robotics and Computer-Integrated Manufacturing,2024,Journal,Ling S.; Yuan Y.; Yan D.; Leng Y.; Rong Y.; Huang G.Q.,10.1016/j.rcim.2023.102709
"Unlocking Human-Robot Dynamics: Introducing SenseCobot, a Novel Multimodal Dataset on Industry 4.0","In the era of Industry 4.0, the importance of human-robot collaboration (HRC) in the advancement of modern manufacturing and automation is paramount. Understanding the intricate physiological responses of the operator when they interact with a cobot is essential, especially during programming tasks. To this aim, wearable sensors have become vital for real-time monitoring of worker well-being, stress, and cognitive load. This article presents an innovative dataset (SenseCobot) of physiological signals recorded during several collaborative robotics programming tasks. This dataset includes various measures like ElectroCardioGram (ECG), Galvanic Skin Response (GSR), ElectroDermal Activity (EDA), body temperature, accelerometer, ElectroEncephaloGram (EEG), Blood Volume Pulse (BVP), emotions and subjective responses from NASA-TLX questionnaires for a total of 21 participants. By sharing dataset details, collection methods, and task designs, this article aims to drive research in HRC advancing understanding of the User eXperience (UX) and fostering efficient, intuitive robotic systems. This could promote safer and more productive HRC amid technological shifts and help decipher intricate physiological signals in different scenarios. © 2024 IEEE Computer Society. All rights reserved.",Human-Robot Collaboration; Human-Robot Interaction; Multimodal Dataset; Psychophysiological Signals; Stress Evaluation,ACM/IEEE International Conference on Human-Robot Interaction,2024,Conference,Borghi S.; Zucchi F.; Prati E.; Ruo A.; Villani V.; Sabattini L.; Peruzzini M.,10.1145/3610977.3636440
HAR2bot: a human-centered augmented reality robot programming method with the awareness of cognitive load,"In the era of Industry 4.0, manufacturing enterprises are actively adopting collaborative robots (Cobots) in their productions. Current online and offline robot programming methods are difficult to use and require extensive experience or skills. On the other hand, the manufacturing industries are experiencing a labor shortage. An essential question, therefore, is: how would a new robot programming method help novice users complete complex tasks effectively, efficiently, and intuitively? To answer this question, we proposed HAR2bot, a novel human-centered augmented reality programming interface with awareness of cognitive load. Using NASA’s system design theory and the cognitive load theory, a set of guidelines for designing an AR-based human-robot interaction system is obtained through a human-centered design process. Based on these guidelines, we designed and implemented a human-in-the-loop workflow with features for cognitive load management. The effectiveness and efficiency of HAR2bot are verified in two complex tasks compared with existing online programming methods. We also evaluated HAR2bot quantitatively and qualitatively through a user study with 16 participants. According to the user study, compared with existing methods, HAR2bot has higher efficiency, a lower overall cognitive load, lower cognitive loads for each type, and higher safety. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2023.",Augmented reality; Cognitive load; Collaborative robot; Human–robot interaction,Journal of Intelligent Manufacturing,2024,Journal,Yang W.; Xiao Q.; Zhang Y.,10.1007/s10845-023-02096-2
Using Metrics For The Assessment of Human Interaction With Worker Assistance Systems,"Factories often include worker assistance systems to support assembly through cognitive guidance, connected tools and sensors. The benefits are improvements in productivity and quality. While the measurement and display of productivity and quality is widely spread, the underlying human interaction with worker assistance systems is not yet established to be assessed in key performance indicators. Those metrics are necessary to measure the level of human-centered design of assembly stations and worker assistance systems. The metrics are meant to yield detailed insights on the information perception of workers and the resulting work activities. Besides the discovery of needs for reconfiguration of worker assistance systems and assembly stations, the metrics can also be used as a basis for comparison to quantify differences between multiple setups. This paper investigates metrics for the assessment of human-centered assembly station design and worker assistance systems. Therefore, multiple categories of metrics on human-technology-interaction are derived from literature and contextualized for worker assistance systems. For validation, selected metrics are implemented at an industrial-grade assembly station for an electric motor replica in a learning factory. The findings in the validation allow the assessment of the information perception and the work activities regarding material picking, handling and ergonomics. © 2024, Publish-Ing in cooperation with TIB - Leibniz Information Centre for Science and Technology University Library. All rights reserved.",Assembly; Data Analysis; Eye Tracking; Human; Interaction; Metrics; Motion Capturing; Worker Assistance Systems,Proceedings of the Conference on Production Systems and Logistics,2024,Conference,Hock F.; Metternich J.,10.15488/17757
Large Language Model for Humanoid Cognition in Proactive Human-Robot Collaboration,"Proactive Human-Robot Collaboration (HRC), which aims to achieve mutual-cognitive, predictable, and self-organizing collaboration between multiple humans and robots, is crucial for today's human-centric smart manufacturing. To enable Proactive HRC, various methods have been explored, including deep neural networks for visual detection, scene graph for decision-making, and reinforcement learning for robot execution. However, these methods often require re-training with domain-specific datasets in different scenarios, lacking generalizability and transferability for diverse manufacturing activities. The advent of Large Language Model (LLM) technology offers a promising solution for comprehending diverse tasks, modelling human intentions, and planning robot operations using natural vision-language instructions. This ability closely resembles human intelligence, specifically humanoid cognition, which allows flexible knowledge acquisition of the surrounding environment and exerting physical influence on tasks. Therefore, this paper delves into the concept of humanoid cognition in Proactive HRC and evaluates relevant LLM methods from the perspectives of task explainability, human-centricity, and robot executability. Based on the testing results, the authors provide discussions and future prospects for successfully integrating LLM approaches into Proactive HRC in the manufacturing domain. © 2024 IEEE.",,IEEE International Conference on Automation Science and Engineering,2024,Conference,Li S.; Wang Z.; Yan Z.; Gao Y.; Jiang H.; Zheng P.,10.1109/CASE59546.2024.10711379
Developing Cognitive Digital Twin for Smart Manufacturing: Methodology and Case Study,"In the era of Industry 5.0, manufacturing needs to focus on resilience, sustainability, and human-centricity. In this context, the Cognitive Digital Twin (CDT) has emerged, aiming to boost the traditional Digital Twin (DT) to a new level of intelligence. This study aims to integrate diverse approaches to implement the CDT framework previously proposed by the authors. In this paper, the development methodology of CDT is discussed, emphasising the use of different technologies to implement the various components of the CDT framework. A case study is developed to validate the proposed framework. The final section summarises the main findings and future works for this study. © 2024 IEEE.",,IEEE International Conference on Automation Science and Engineering,2024,Conference,Ji T.; Polzer J.; Xu X.,10.1109/CASE59546.2024.10711555
How to Decrease Negative Impressions towards Multiple Social Robots: A Preliminary Investigation,"Recently, research using multiple social robots has been actively conducted for advanced communication. Using multiple social robots has a positive effect of enhancing their influence. However, interacting with multiple robots may impose a cognitive load on people, potentially yielding negative impressions towards the social robots and adversely affecting human-robot interaction. In this study, we sought to decrease negative impressions in a scenario where participants could perceive the robot as a friend or family member. Specifically, we conducted a preliminary experiment using multiple robots, where a group of friends and family members participated, and investigated impressions towards multiple robots. The finding in this study revealed that approximately 70% of the participants had no negative impressions and more than 80% of the participants felt that 10 social robots had the most enhanced influence. This study provided interesting perspectives for the design of interactions aimed at enhancing the influence of multiple robots. © 2024 Copyright held by the owner/author(s)",Interaction design; Multiple robots; Social robot,ACM/IEEE International Conference on Human-Robot Interaction,2024,Conference,Hatano Y.; Baba J.; Nakanishi J.; Yoshikawa Y.; Ishiguro H.,10.1145/3610978.3640639
Augmented reality guided autonomous assembly system: A novel framework for assembly sequence input validations and creation of virtual content for AR instructions development,"In recent years, industries are striving to adapt immersive technologies in the real-time assembly shop floor setting to achieve effective outcomes in terms of enabling the worker to handle the complex cognitive assembly task execution/training circumstances. The manufacturers are presently facing difficulties with the process of Augmented reality (AR) instruction creation for the required product assembly system. The existing AR instruction development process demands highly skilled experts and more time consumption. Hence, the manufacturers are presently relying on third parties to acquire the required AR instructions by providing the necessary assembly particulars as input. Where, the cost of developing AR instruction is another big challenging concern. Predominantly, the significance of providing exact assembly input is vital for the experts to develop the appropriate AR content without any errors. An automated approach is developed in this study to resolve the difficulties with assembly sequence input for the AR instructions development process. The automated approach affords four different provisions that include validation of an assembly sequence input prior to the AR instructions development stage, suggestions for assembly sequence input generation, simulation of validated assembly sequence in the Virtual reality (VR) environment for user perception, and generation of virtual content for AR visualizations. Subsequently, the generated digital contents from the automated approach are imparted into the AR Unity platform to develop the required AR instructions for the product assembly system. Notably, this study explores the AR customized marker technique to visualize the AR content in the user's view of the physical context. Finally, the AR guidelines are built as apps for the selected 11-part assembly and deployed on the shop floor for the user to perceive the AR content through visualization devices for execution of assembly operations in a real-time context. In addition, the effectiveness of the automated approach is analyzed with the existing approach, and the consequences are explored through the process of receiving feedback from the experts about the error rate, cognitive level, and creation time. © 2023 The Society of Manufacturing Engineers",Assembly input validation; Assembly sequence; Assembly system; Augmented reality; Manufacturing system; Virtual reality; Virtual scene creation,Journal of Manufacturing Systems,2024,Journal,Eswaran M.; Prasad V.S.S.V.; Hymavathi M.; Bahubalendruni M.V.A.R.,10.1016/j.jmsy.2023.11.002
Active YOLO for lobster part detection in industrial contexts,"The manufacturing industry is experiencing a significant transformation driven by digital technologies and artificial intelligence (AI) -based solutions. As manufacturers aim to boost productivity while maintaining human involvement, integrating robots poses new challenges. Emerging technologies like brain-machine interfaces and advanced AI are essential, leading to a new paradigm known as Industry 5.0 [1]. Industry 4.0 revolutionized manufacturing with AI, the Internet of Things (IoT), cloud computing, cyber-physical systems (CPSs), and cognitive computing, creating ""smart"" environments where interconnected machines autonomously optimize production. This shift has significantly increased productivity and performance. However, Industry 5.0 further evolves by emphasizing collaboration between humans and robots, leveraging human creativity and advanced machinery. It aims to enhance efficiency and enable mass personalization, where products are tailored to individual needs. The core value of Industry 5.0 is human centricity, with machines handling repetitive tasks and humans focusing on cognitive and critical thinking tasks [2]. On the one hand and according to [3], the key technologies supporting a human-centric AI in manufacturing include i) Active Learning (AL): AI systems continuously learn from human feedback, enhancing human-machine synergy; ii) Explainable AI (XAI): Ensures AI decisions are transparent and understandable, fostering trust and collaboration; iii) Simulated Reality: Uses virtual environments to simulate real-world scenarios for training and decision-making; iv) Conversational Interfaces: Enable natural language interactions between humans and machines, improving usability; v) Security: Ensures data and system security as digitalization increases the attack surface. On the other hand and within this transformation, object detection (OD) plays a crucial role [4] by applying it in different systems like defect detection for quality control, in collaborative robots (cobots), with robot arms for palletising and pick and place automated system, and in video surveillance systems. Furthermore, it is worth mentioning, that the most recent development of these systems is based on YOLO detectors for their precision and inference speed efficiency trade-off [5]. In eastern Canada, the lobster fishery industry is the most commercially important fishery in Atlantic Canada [6, 7]. Integrating cutting-edge techniques and technologies within New Brunswick lobster manufacturers is crucial to match the industrial development era. To this end, a large lobster parts detection dataset has been collected by the R.E.I.4.0 laboratory at the Faculty of Engineering of the University of Moncton. It includes several thousand color and grayscale images of lobsters collected in a context simulating an industrial environment [8]. All collected images have been annotated into six classes: Tail, claw, head, body, force claw, and folded tail, with their corresponding bounding box coordinates. The dataset also contains images without the lobster or its parts appearing (background). Thus, we propose a new YOLO-based lobster part detection system by exploiting an AL approach. Considering a limited label budget, AL aims to select the most effective images to be annotated to improve the model efficiency by applying a selection-based metric for N cycles until the label budget is reached. While AL is an annotation cost optimization-based machine learning approach, it is still underexploited and applied in OD. Three main selection categories exist in the general literature: Those based on the informativeness of samples, representativeness, and hybrid approaches [9]. In this work, we first evaluate the uncertainty selection metric based on entropy with the latest YOLO series update, i.e. YOLOv10 [10]. This detector presents the best holistic inference speed-accuracy performance for real-time detection. The initial active YOLOv10 training cycle used 0.5% randomly selected annotated data; then, 4 active cycles were carried out with an increment of 0.5%. The label quota budget is 2.5%, representing about 500 annotated images from the training dataset. For evaluation, we used a noisy version of the test set, simulating adverse industrial environment conditions, such as the addition of blur, and textures simulating the effect of water on images, reflections, and more severe intensity variations compared to the original images. The preliminary mAP50 result of active YOLOv10 compared to YOLOv10 trained from scratch and fine-tuned from the COCO trained model, when using a 2.5% random annotated image, are very competitive with 0.778, 0.802, and 0.831, respectively. Indeed, the entropy calculation only considers the prediction score. However, the consistency and reliability of the predicted bounding boxes should also be considered in the strategy applied to object detection systems. This is the primary objective of our ongoing experiments. © 2024, Avestia Publishing. All rights reserved.",,Proceedings of the World Congress on Electrical Engineering and Computer Systems and Science,2024,Conference,Benhafid Z.; Selouani S.A.,10.11159/mvml24.124
Comparison of concurrent cognitive load measures during n-back tasks,"The cognitive load experienced by humans is an important factor affecting their performance. Cognitive overload or underload may result in suboptimal human performance and may compromise safety in emerging human-in-the-loop systems. In driving, cognitive overload, due to various secondary tasks, such as texting, results in driver distraction. On the other hand, cognitive underload may result in fatigue. In automated manufacturing systems, a distracted operator may be prone to muscle injuries. Similar outcomes are possible in many other fields of human performance such as aviation, healthcare, and learning environments. The challenge with such human-centred applications is that the cognitive load is not directly measurable. Only the change in cognitive load is measured indirectly through various physiological, behavioural, performance-based and subjective means. A method to objectively assess the performance of such diverse measures of cognitive load is lacking in the literature. In this paper, a performance metric for the comparison of different measures to determine the cognitive workload is proposed in terms of the signal-to-noise ratio. Using this performance metric, several measures of cognitive load, that fall under the four broad groups were compared on the same scale for their ability to measure changes in cognitive load. Using the proposed metrics, the cognitive load measures were compared based on data collected from 28 participants while they underwent n-back tasks of varying difficulty. The results show that the proposed performance evaluation method can be useful to individually assess different measures of cognitive load. © 2024 Elsevier Ltd",Cognitive load; Detection response task; Eye-tracking; Human-computer interface; Pupil diameter,Applied Ergonomics,2024,Journal,Pillai P.; Balasingam B.; Jaekel A.; Biondi F.N.,10.1016/j.apergo.2024.104244
The effects of representation of industrial icons on visual search performance,"With innovations in intelligent manufacturing technology and the enhancement of intelligent manufacturing systems, the quantity of information held and transmitted by interactive interfaces has increased significantly, which also increases the cognitive load on the operators. As a component of an interactive interface, the icon has the vital mission of communicating semantics. The eye-movement experiments were conducted to research the effects of visual representations of industrial icons on search performance. The results show that the visual search performance is optimal for negative polarity icons with the line width of 1.0px and the figure/background area ratio of 50%. Furthermore, we concluded the visual search strategy of operator for industrial icons on the basis of analysis for pictorial icons and multi-semantic icons with eye movement data. This study takes the visual representation of industrial icons as perspective on design evaluation and optimization. The cognitive load on the operator can be minimized and the interface information can be accessed quickly and accurately by following our icon design recommendation. It is significant to improve the efficiency of manufacturing operation and ensure the safety of the manufacturing process. © 2024 Elsevier B.V.",Industrial icons; Intelligent manufacturing; Representation; Visual search performance; Visual search strategy,Displays,2024,Journal,Shao J.; Zhan Y.; Zhu H.; Zhang M.; Qin L.; Tian S.; Qi H.,10.1016/j.displa.2024.102661
