,Keyword,Count
2175,proactive techniques,1
2176,work productivity,1
2177,online leadership,1
2178,design management,1
2179,advanced driver assistance system (adas),1
2180,projector-based ar,1
2181,mobile co-robots,1
2182,camera-projector system,1
2183,societal impact of ai,1
2184,extended mind,1
2185,ethics of ai,1
2186,cognitive assistants,1
2187,ai extenders,1
2188,selection methods,1
2189,game-based assessments,1
2190,academic performance,1
2191,digital human models,1
2192,project process,1
2193,ipd-ish project,1
2194,ipd principles,1
2195,integrated project delivery (ipd),1
2196,cognitive task analysis (cta),1
2197,model,1
2198,electric vehicles (evs),1
2199,design maturity,1
2200,shape complexity,1
2201,organizational processes,1
2202,transport safety,1
2203,sleepiness detection,1
2204,utility industry,1
2205,sequential mediation modeling,1
2206,umbrella theory,1
2207,triple c model,1
2208,systems framework,1
2209,engineering,1
2210,deji model,1
2211,multiagent-system,1
2212,intentional forgetting,1
2213,distributed artificial intelligence,1
2214,product lifecycle management,1
2215,context information management,1
2216,asset lifecycle management,1
2217,risk factors,1
2218,hesitant fuzzy set,1
2219,electric power system,1
2220,checklist,1
2221,surface design,1
2222,gaussian curvature,1
2223,machine interaction,1
2224,learning framework,1
2225,visual-proprioceptive mismatch task,1
2226,near-infrared spectroscopy,1
2227,body schema,1
2228,sweat sensing,1
2229,photonic sensing,1
2230,photonic integrated circuits,1
2231,microfluidics,1
2232,fluid dynamics,1
2233,finite element simulations,1
2234,biosensing,1
2235,mobile learning,1
2236,massive online learning,1
2237,tecnomatix,1
2238,automotive assembly,1
2239,learning concept,1
2240,age-appropriate workplace design,1
2241,team leadership,1
2242,team effectiveness,1
2243,shared leadership,1
2244,blackboard,1
2245,learning management systems,1
2246,"practice platform, cognitive system, construction",1
2247,automatic brake system,1
2248,innovation and entrepreneurship,1
2249,emerging engineering education,1
2250,civil engineering,1
2251,work 4.0,1
2252,performance support,1
2253,five moments of need,1
2254,automotive styling,1
2255,interoperability,1
2256,intelligent shopfloor,1
2257,industrial cyber-physical systems,1
2258,connectivity,1
2259,state of the art,1
2260,facial recognition,1
2261,physical / cognitive assistance,1
2262,individualization,1
2263,field assembly,1
2264,steering control,1
2265,multimodal actions,1
2266,cognitive vehicle interactions,1
2267,human factors and behaviour,1
2268,smart technologies,1
2269,insomnia,1
2270,human-centred machine learning,1
2271,system reliability,1
2272,scheduling,1
2273,quantitative method,1
2274,qualitative method,1
2275,oil drilling,1
2276,analytic network process,1
2277,tools for design cyber-physical molels,1
2278,cognitive remote laboratory,1
2279,cognitive control systems architecture,1
2280,vanet,1
2281,cognitive tests,1
2282,bio-social networking,1
2283,real world,1
2284,opportunities,1
2285,congitive,1
2286,safety leadership,1
2287,accident experience,1
2288,skill learning,1
2289,moba,1
2290,confidence,1
2291,ecological approaches,1
2292,rare category analysis,1
2293,behaviorism,1
2294,value system,1
2295,smart decision,1
2296,preference,1
2297,pi-mind,1
2298,patented intelligence,1
2299,clone,1
2300,digital human–computer interface,1
2301,cognitive reliability model,1
2302,unintended side effects (unseens),1
2303,proposition-based expert round tables,1
2304,digital vaulting,1
2305,digital curtain,1
2306,instance-based learning,1
2307,energy-relevant behavior,1
2308,sequential production processes,1
2309,process failure mode and effects analysis,1
2310,multi-stage fuzzy cognitive map,1
2311,food industry,1
2312,goal setting theory,1
2313,self-paced learning,1
2314,network embedding,1
2315,site hazard identification,1
2316,human-machine collaboration,1
2317,decision ladder,1
2318,information support system,1
2319,modified gmm algorithm,1
2320,industrial assembly task,1
2321,adaptation to environmental changes,1
2322,externality,1
2323,economic evaluation,1
2324,cognitive perspective,1
2325,sweat-sensing,1
2326,real-time sensing,1
2327,predictive simulation,1
2328,limit of detection,1
2329,human performance monitoring,1
2330,electrochemical detection,1
2331,accidents & causes,1
2332,set of experience knowledge structure,1
2333,knowledge engineering,1
2334,image representation,1
2335,cognitive cyber physical systems,1
2336,picking,1
2337,lean automation,1
2338,learning technology,1
2339,3d modeling,1
2340,learning capability,1
2341,hr development,1
2342,widefield of view,1
2343,wide anglefovea sensor,1
2344,staticfea dynamicfeature,1
2345,saliency map,1
2346,reg interest,1
2347,high spatial resolution,1
2348,eye movement,1
2349,attention shift,1
2350,optimal global planning,1
2351,hybrid reasoning,1
2352,coordination of multiple teams,1
2353,ai reasoning methods,1
2354,work-family conflict,1
2355,strain,1
2356,commitment,1
2357,human behavior analysis,1
2358,elearning,1
2359,probabilistic graphical models,1
2360,cognition and metacognition,1
2361,impairment,1
2362,functional magnetic resonance imaging,1
2363,time scaling control,1
2364,dc motor,1
2365,recovery option,1
2366,multiobjective optimisation,1
2367,robotic disassembly,1
2368,disassembly sequence planning,1
2369,remanufacturing,1
2370,end-of-life,1
2371,system dynamics (sd),1
2372,perceptual image,1
2373,kansei engineering,1
2374,garment design,1
2375,virtual performance,1
2376,rule-based adaptation,1
2377,interaction experience,1
2378,unmanned logistics vehicle,1
2379,human decision-making,1
2380,transnationalism,1
2381,critical infrastructure protection,1
2382,embedding techniques,1
2383,co-inventorships,1
2384,plant identification,1
2385,human barriers,1
2386,dual process theory,1
2387,social science,1
2388,crowd intelligence,1
2389,perception-retrieval cognitive mechanism,1
2390,knowledge-based engineering,1
2391,product personality,1
2392,product innovation,1
2393,product choice,1
2394,marketing management,1
2395,moral cleansing,1
2396,behavioral integrity,1
2397,moral judgment,1
2398,hypocrisy,1
2399,raw material origin,1
2400,upper paleolithic,1
2401,neolithic,1
2402,eastern morocco,1
2403,oujda mountains,1
2404,prehistoric cave,1
2405,guenfouda,1
2406,holistic analysis,1
2407,motivational bias,1
2408,client,1
2409,co-authorships,1
2410,dimensions of proximity,1
2411,pythagorean fuzzy sets,1
2412,lean supply chain,1
2413,understandability,1
2414,threat appraisals,1
2415,organizational commitment,1
2416,crisis,1
2417,covid-19 pandemic,1
2418,commitment hrm,1
2419,social agents/robotics,1
2420,machine theory of mind,1
2421,3d annotations,1
2422,model-based definition (mbd),1
2423,annotated 3d model,1
2424,master of industrial training,1
2425,digitalization of education,1
2426,digital technologies,1
2427,digital competence,1
2428,agricultural profile,1
2429,multi-distance spatial clustering,1
2430,tourist attraction name extraction,1
2431,cognitive region,1
2432,tpb,1
2433,tam,1
2434,trustworthiness,1
2435,actionability,1
2436,qualitative user research,1
2437,military,1
2438,transition,1
2439,rehabilitation,1
2440,telemanipulator,1
2441,man-machine interface,1
2442,haptic interface,1
2443,worldbuilding,1
2444,urban planning,1
2445,adult learning,1
2446,scenario development,1
2447,driving distracters,1
2448,design analysis technique,1
2449,vehicle interfaces,1
2450,task process models,1
2451,managerial decisions,1
2452,personnel assessment,1
2453,pattern detection,1
2454,fcm metrics,1
2455,speech acts,1
2456,fcm comparison,1
2457,experimental evaluation,1
2458,head-up display,1
2459,intelligent virtual assistant (iva),1
2460,employee,1
2461,knowledge generation,1
2462,overt attention,1
2463,reinforcement sensitivity theory,1
2464,rst,1
2465,industrial firefighters,1
2466,individual factors,1
2467,performance influencing factors,1
2468,sustainable education,1
2469,cultural clash,1
2470,knowledge-economy,1
2471,new science of learning,1
2472,practitioner strategies,1
2473,personality test,1
2474,pattern analysis,1
2475,organizational sensemaking,1
2476,individual meaning-making,1
2477,hrd,1
2478,grounded theory,1
2479,theoretical foundations,1
2480,collaborative research and development,1
2481,extreme-scale data,1
2482,autonomous analytics,1
2483,"eye movements and attention relationship,saccade-fixation repertoire",1
2484,scene perception,1
2485,btex,1
2486,inbound tourism,1
2487,"['visual encoding', 'mixed reality', 'user interface', 'co-assembly', 'complex operational terrain']",1
2488,"['human-drone interaction', 'gesture', 'speech', 'virtual reality (vr)', 'safety', 'drone', 'construction']",1
2489,"['industrial setting', 'assembly task', 'cognitive workload', 'cognitive ergonomics', 'overload', 'eeg', 'eog']",1
2490,"['manual assembly', 'quality inspection', 'human-centered design', 'industry 5.0']",1
2491,"['augmented reality', 'industry 5.0', 'mental workload', 'digitalisation', 'eye tracking']",1
2492,china,1
2493,crowding-out effect,1
2494,5,1
2495,pm2,1
2496,haze,1
2497,voc,1
2498,regulation,1
2499,neurorights,1
2500,neuroprosthetics,1
2501,innovation diffusion theory (idt),1
2502,construction personnel,1
2503,fintech,1
2504,toxicity,1
2505,carcinogenicity,1
2506,human health,1
2507,data streaming,1
2508,time-critical data analysis,1
2509,human resources (hr),1
2510,analytical reasoning,1
2511,software and hardware,1
2512,brain-inspired intelligent robot,1
2513,computer-aided diagnosis systems,1
2514,biomedical applications,1
2515,computational approaches,1
2516,mediated moderation,1
2517,cognitive dissonance of self-standards,1
2518,employee green self-accountability,1
2519,employee pro-environmental behavior,1
2520,green training,1
2521,green compensation,1
2522,industrial project,1
2523,interreg cbs project,1
2524,maritime education,1
2525,data-driven decision making,1
2526,process modeling,1
2527,it budget,1
2528,enterprise systems,1
2529,reactor trip event,1
2530,reliability measurement,1
2531,human factor analysis and classification systems,1
2532,muscle control,1
2533,employee engagement,1
2534,human resource development,1
2535,living style,1
2536,human perception,1
2537,user-centered evaluation,1
2538,visual representation,1
2539,visual communication,1
2540,anthropomorphic robot,1
2541,robot and ai synergy,1
2542,advanced technologies,1
2543,humanoid robot,1
2544,linkage structure,1
2545,aesthetic value,1
2546,turnover,1
2547,design philosophy,1
2548,upholstered furniture,1
2549,teleportation,1
2550,tangible,1
2551,sustainable urban planning and infrastructure,1
2552,human factors in architecture,1
2553,intentions,1
2554,social exchange theory,1
2555,perceived investment in employee development,1
2556,theory,1
2557,acceptance behavior,1
2558,"['ergonomics', 'lean production', 'occupational health', 'design of systems']",1
2559,work scheduling,1
2560,emotional ties,1
2561,cognitive hedonic patterns,1
2562,hedonic design,1
2563,beat gestures,1
2564,social cues,1
2565,deictic gestures,1
2566,signaling,1
2567,educational videos,1
2568,chronic disease,1
2569,ambulatory care,1
2570,sdg 12: responsible consumption and production,1
2571,work environment,1
2572,employees' engagement,1
2573,lean production,1
2574,discomfort,1
2575,corrective shared control,1
2576,real-time evaluation,1
2577,armored vehicle,1
2578,house of quality,1
2579,quality improvement,1
2580,production assembly design,1
2581,human interaction,1
2582,attention focus,1
2583,research publications,1
2584,gaze-tracking,1
2585,business owner,1
2586,cognitive value,1
2587,explanations,1
2588,building design process,1
2589,manufacturing planning and control,1
2590,"energy, emission",1
2591,advanced planning and scheduling (aps),1
2592,controlled human experiments,1
2593,behavioural decision making,1
2594,newsvendor game,1
2595,alarm system,1
2596,socio-technical system,1
2597,human-centered workplace design,1
2598,workplace evaluation,1
2599,multi-modality,1
2600,user experience efficiency benchmark,1
2601,healthcare automation,1
2602,human-supervisory,1
2603,usability testing,1
2604,automated vehicle,1
2605,scada hci,1
2606,assured autonomy,1
2607,project,1
2608,industrial boiler,1
2609,conceptual framework,1
2610,system safety,1
2611,macrocognitive function,1
2612,facial thermography,1
2613,breathing rate,1
2614,task-unrelated thought,1
2615,behavior-based safety (bbs),1
2616,interpersonal and group communication,1
2617,evaluation method,1
2618,industrial visualization,1
2619,human-robot teams,1
2620,immersive virtual environments,1
2621,spatial attention,1
2622,confirmation design,1
2623,irreversibility,1
2624,motivation and technology,1
2625,workstation criteria,1
2626,design processes,1
2627,assembly planning,1
2628,risk modeling,1
2629,smart education,1
2630,industry 5,1
2631,fuzzy extent analysis,1
2632,human factors in manufacturing,1
2633,augmented cognition,1
2634,human-centric assembly,1
2635,psychological well-being (pwb),1
2636,suppressor effect,1
2637,subjective well-being,1
2638,positive emotions,1
2639,life satisfaction,1
2640,service industry,1
2641,hospitality industry,1
2642,large language model,1
2643,cloud service,1
2644,collective team identification,1
2645,emobodied cognitinn,1
2646,transactive memory systems,1
2647,socio-cognitive theory,1
2648,human-ai teams,1
2649,self-beliefs,1
2650,human-centered it,1
2651,cooperative driving,1
2652,human-machine cooperative,1
2653,cooperative interface,1
2654,and enactivism,1
2655,causal modeling,1
2656,interruptions,1
2657,cognitive ethnography,1
2658,crafts training,1
2659,integrated circuits,1
2660,hardware reverse engineering,1
2661,complex systems design,1
2662,system modelling,1
2663,strategic planning,1
2664,science city,1
2665,networked strategic meeting,1
2666,convergence approach,1
2667,civil participation,1
2668,humanistic data,1
2669,cypher,1
2670,neo4j,1
2671,graph analytics,1
2672,graph databases,1
2673,graph recommendation,1
2674,content delivery,1
2675,cultural content,1
2676,brain resources,1
2677,job assignment,1
2678,personalized safety management,1
2679,cognitive factors of production,1
2680,think aloud,1
2681,mixed-methods,1
2682,semiconductor industry,1
2683,visual cueing,1
2684,research-practice gap,1
2685,design science research,1
2686,product development decisions,1
2687,decision-maker modeling,1
2688,human factors engineering,1
2689,process wastes,1
2690,retrieval,1
2691,complex task,1
2692,attention guidance,1
2693,refresher training,1
2694,early-stage venture capital,1
2695,npcs,1
2696,voice interaction,1
2697,speech-based systems,1
2698,voice-controlled video games,1
2699,behavior monitoring,1
2700,pervasive and smart workplaces,1
2701,human work interaction design,1
2702,bloom's taxonomy,1
2703,flipped classroom,1
2704,intellectual capital,1
2705,activity tracking,1
2706,transport robot,1
2707,hand tracking,1
2708,multiple monitor environments,1
2709,eye-head coordination,1
2710,gaze control model,1
2711,power dispatching,1
2712,process adaptation and recovery situation calculus,1
2713,cognitive business process management cyber-physical processes,1
2714,skill enhancement,1
2715,productivity improvement,1
2716,dynamic influence diagrams,1
2717,task overload,1
2718,control room operators,1
2719,flight deck,1
2720,user centered design,1
2721,hybrid human-artificial intelligence (h-ai),1
2722,tutorials,1
2723,human intelligence,1
2724,roads,1
2725,legibility,1
2726,intent-expressive behaviour,1
2727,design principles,1
2728,agv,1
2729,sleep deprivation,1
2730,expert system,1
2731,alertness,1
2732,intelligent network linking,1
2733,manual-procedural activities,1
2734,intelligent tutoring systems,1
2735,computer-aided engineering,1
2736,collaborative design,1
2737,cognitive-based design,1
2738,cloud-based design and manufacturing,1
2739,service-oriented design,1
2740,innovations,1
2741,cad/cam/cae,1
2742,human-computer interaction in automobiles,1
2743,industrial design student,1
2744,multi-level design principle,1
2745,gameart,1
2746,art games,1
2747,dependability,1
2748,cpsos,1
2749,dependable systems,1
2750,efficient interaction,1
2751,coexistence,1
2752,design performance,1
2753,"['human factors', 'ergonomics', 'production assembly design', 'quality improvement', 'design for assembly', 'house of quality']",1
2754,"['industry 5.0', 'human factors', 'cognitive factors', 'psychological factors', 'physical factors']",1
2755,methods and skills,1
2756,"['ict', 'operators', 'production', 'cognitive automation', 'variety', 'strategy', 'manage', 'trl']",1
2757,"['lean thinking', 'lean tools', 'sustainable development', 'disability', 'inclusion']",1
2758,"['knowledge-based', 'ergonomic', 'cognitive', 'process control', '3q', 'danieli.']",1
2759,"['perception', 'internet of things', 'control architecture']",1
2760,"['cyber-physical production system', 'industrial internet of things', 'work area design', 'experimental investigation']",1
2761,"['type your keywords here', 'separated by semicolons']",1
2762,"['intelligent control', 'cognitive control', 'automation', 'intelligence', 'manufacturing', 'ethical control']",1
2763,"['carbon net-zero', 'agile management', 'algorithm', 'feedback ambiguity']",1
2764,"['human reliability', 'cream', 'bayesian network', 'emergency fire pump', 'operational safety']",1
2765,"['externality', 'economic evaluation', 'cognitive perspective']",1
2766,"['ergonomic risk', 'steel production', 'waste', 'labor organization', 'ergonomic work analysis', 'sustainability']",1
2767,"['autonomous robot', 'robot skills', 'kitting']",1
2768,"['knowledge management', 'decision making', 'degradation analysis']",1
2769,"['cognitive automation', 'strategies', 'carrier', 'content', 'information', 'production', 'system', 'operator']",1
2770,"['adaptive spatial augmented reality', 'real-time object recognition', 'industrial site assembly']",1
2771,"['cyber-physical systems', 'internet of things', 'context information management', 'product lifecycle management', 'asset lifecycle management', 'maintenance', 'human in the loop']",1
2772,"['construction equipment operation', 'hazard perception', 'dynamic bayesian network', 'cognitive model', 'proactive analysis']",1
2773,"['automated machines', 'general capital', 'wage gap']",1
2774,"['robot programming', 'human–robot interaction', 'hand gesture dataset', 'hand gesture recognition', 'hand pose estimation']",1
2775,"['learning curves', 'group size', 'motor/cognitive/waste elements', 'experimental data']",1
2776,"['interruptions', 'manual assembly', 'manufacturing']",1
2777,"['process safety', 'human error', 'eye tracking', 'cognitive engineering']",1
2778,"['lean automation', 'smart manufacturing', 'human-centered automation', 'human-machine collaboration']",1
2779,"['human-robot collaboration', 'virtual environments', 'human-robot interaction', 'safety', 'proactive techniques', 'adaptive trajectory', 'collision avoidance']",1
2780,"['human robot collaboration', 'manufacturing system', 'visual reasoning']",1
2781,"['age-related cognitive decline', 'neuroinflammation', 'gut-brain axis', 'emulsifier', 'gut microbiota', 'deoxycholic acid']",1
2782,"['cognitive robotics', 'context-awareness', 'probabilistic graphical models', 'ontology', 'ubiquitous computing']",1
2783,"['manufacturing flexibility', 'material handling system', 'cognitive automation', 'level of automation']",1
2784,"['industry 5.0', 'employability skills', 'cobots', 'cognitive interface', 'co-working space', 'e-commerce industry']",1
2785,"['cognitive engineering', 'human error', 'eye tracking', 'process safety']",1
2786,"['additive manufacturing', 'selective laser melting', 'bio-intelligence', 'convolutional neural networks', 'machine learning', 'image processing']",1
2787,"['human–robot interaction', 'collaborative system', 'industrial ergonomics', 'automation']",1
2788,"['collaborative robots', 'robot performance evaluation', 'multi-source information fusion', 'text clustering']",1
2789,"['operational decision', 'emergency', 'learning environment.']",1
2790,"['aging', 'workplace', 'motor control', 'cognition', 'motivation']",1
2791,"['public transport', 'safety management', 'logistics', 'intelligent transportation systems', 'traffic management', 'transport management systems']",1
2792,"['digitization', 'big data analytics', 'business transformation', 'societal transformation', 'information society']",1
2793,"['dual resource constrained flexible job shop scheduling problem', 'multi-objective optimization', 'worker fatigue', 'initialization method', 'neighborhood structure', 'casting workshop']",1
2794,"['e5g mobile technologies spectrum allocation', 'pseudo outdoor communication', 'key performance indicators', 'cloud-based services', 'efficient energy', 'cr']",1
2795,"['psychosocial safety climate', 'possibilities for development', 'cognitive demands', 'engagement']",1
2796,"['mental models', 'hidden markov model', 'eye tracking', 'learning', 'operator training']",1
2797,"['data', 'information', 'knowledge', 'industry 4.0']",1
2798,"['smart task assistance', 'wearable augmented reality', 'deep learning-based task assistance', 'ar smart glasses']",1
2799,"['osh', 'new technologies', 'work conditions']",1
2800,"['fine-kinney', 'cradis model', 'interval-valued spherical fuzzy', 'occupational risk', 'choquet integral']",1
2801,"['semantic modelling', 'complex event processing', 'parallel processing', 'rule-based modelling', 'multi-modal data', 'physiological data']",1
2802,"['product design', 'ai-enabled product design', 'cognitive intelligence-enabled product design', 'cognitive computing', 'artificial intelligence']",1
2803,"['robot', 'teleoperation', 'virtual reality', 'scene reconstruction', 'deep learning']",1
2804,"['local strong thermal radiation (lstr)', 'mental workload', 'vigilance', 'electroencephalogram (eeg)', 'motivation']",1
2805,"['digital cloning', 'machine learning', 'generative adversarial networks', 'cybersecurity', 'logistics']",1
2806,"['cognitive-motor task', 'cognitive-motor processing time', 'aging', 'oxygen consumption', 'heart rate']",1
2807,"['knowledge base development', 'cognitive modeling', 'human reliability analysis', 'nuclear power plant', 'severe accident']",1
2808,"['labour-machine substitution', 'labour-machine complementarity', 'workforce in agriculture']",1
2809,"['cyber-physical system', 'artificial intelligence', 'information support system']",1
2810,"['assembly', 'augmented reality', 'car body fitting', 'collaborative robots', 'automotive sector']",1
2811,"['human centered computing', 'human inspired ai', 'human computer interaction', 'machine learning', 'artificial intelligecne', 'i4.0', 'hci']",1
2812,"['human-centric', 'user-centric', 'industry 5.0', 'evaluation', 'user experience', 'cognitive biases', 'ppc']",1
2813,"['cognitive work analysis', 'mining operations', 'cognitive awareness', 'work domain', 'human behavior', 'safety']",1
2814,"['cognitive bias', 'misinterpretation of requirements', 'miscommunication', 'software success and failure prediction', 'decision making']",1
2815,"['organizations knowledge area trends', 'organizations trends', 'organizations knowledge area', 'organizations perspective', 'industry 5.0']",1
2816,"['human robot collaboration', 'cognitive robotics', 'sensor']",1
2817,"['neurodiversity', 'inclusion', 'digital transformation', 'work organisation', 'skills', 'technological change', 'autism']",1
2818,"['construction safety', 'hazard classification', 'electroencephalogram (eeg)', 'wearable eeg', 'virtual reality (vr)', 'eeg classifier']",1
2819,"['production planning', 'control', 'behavioral research', 'cognitive biases', 'human factor', 'decision making']",1
2820,"['industry 4.0', 'human-in-the-loop', 'cyber-physical production systems', 'manufacturing control architecture']",1
2821,"['agents', 'artificial intelligence', 'automation', 'autonomy', 'autonomous systems', 'computational intelligence', 'm2 m', 'machine intelligence', 'machine vision', 'multi-agent systems', 'sift.']",1
2822,"['human-cyber-physical systems', 'human-machine teaming', 'artificial intelligence', 'fuzzy pattern classification', 'thermal spraying']",1
2823,"['skill sets', 'wage premium', 'network analysis', 'text mining', 'agriculture online job offers']",1
2824,"['artificial intelligence', 'computational intelligence', 'digitalization', 'digital transformation', 'human cognition', 'social interaction', 'industry 4.0', 'digital capability', 'social transformation', 'human computer interaction']",1
2825,"['construction robots', 'embodied ai', 'dexterity']",1
2826,"['autonomous systems', 'process automation', 'process control', 'machine learning', 'artificial intelligence', 'unmanned operation', 'fault detection', 'supervisory control', 'functional safety', 'human-machine interface', 'process monitoring', 'performance optimization']",1
2827,"['human–robot teaming', 'ergonomics', 'intelligent and flexible manufacturing', 'human factors and human-in-the-loop']",1
2828,"['robotic assembly', 'teaching by demonstration', 'sequential function charts', 'knowledge integration']",1
2829,"['cyber-security', 'training framework', 'delphi method', 'learning theory', 'personalizedp learning']",1
2830,"['cognitive aspects of automation', 'human-centered systems', 'knowledge society']",1
2831,"['artificial intelligence', 'diversity', 'cultural coherence', 'ethics', 'morality', 'wisdom', 'global stability', 'the wise anthropocentric revolution', 'industry 6.0']",1
2832,"['augmented reality', 'assembly sequence', 'virtual reality', 'assembly input validation', 'virtual scene creation', 'manufacturing system', 'assembly system']",1
2833,"['cognitive inspired decision-making', 'quantitative modeling', 'extreme learning machine', 'pairwise comparison learning', 'prognostic and health management', 'health state assessment']",1
2834,"['organizational ai adoption', 'proactive career behavior', 'self-perceived employability', 'future work self-salience']",1
2835,"['robotics', 'automation', 'in-pipe inspection robots', 'tank inspection robots', 'ndt', 'uav', 'wireless sensor networks (wsn)', 'oil and gas exploration']",1
2836,"['time pressure', 'mental demand', 'risk compensation', 'risk-taking behaviors', 'decision dynamics', 'working memory', 'risk perception', 'construction safety', 'mixed reality', 'virtual reality', 'fnirs']",1
2837,"['artificial cognitive systems', 'expert knowledge management', 'color adjustment', 'color formulation']",1
2838,"['tool innovation', 'problem solving', 'preschool children', 'cognitive development']",1
2839,"['fcm comparison', 'team performance', 'speech acts', 'fcm metrics']",1
2840,"['cybersecurity education', 'gender difference', 'self-determination theory', 'social cognitive theory', 'capture the flag']",1
2841,"['sustainability', 'industry 4.0', 'impacts', 'exploratory study']",1
2842,"['human reliability analysis (hra)', 'qualitative screening', 'human error probability (hep)', 'decision making', 'machine learning']",1
2843,"['robotics', 'automation', 'underwater manipulator', 'underwater welding', 'production structure', 'ndt', 'rov', 'auv', 'wsn', 'oil spill']",1
2844,"['acceptance', 'warehousing 4.0', 'cobot', 'human–robot collaboration', 'systematic literature review']",1
2845,"['distributed control system (dcs)', 'cognitive task load', 'chemical process industry', 'operator training', 'complex causality', 'transfer entropy']",1
2846,"['assembly instructions', 'digitalisation', 'mixed model', 'final assembly', 'short takt times', 'industry 4.0', 'operator 4.0']",1
2847,"['virtual reality', 'operator support', 'assembly', 'global production']",1
2848,"['human–robot collaboration', 'digital twin', 'action recognition', 'digital human', 'deep learning']",1
2849,"['anthropomorphism', 'hierarchical status', 'human-computer interaction', 'self-accountability', 'ethnic differences', 'incident experiences']",1
2850,"['human-computer interaction', 'human factors', 'industry 4.0', 'industry 5.0', 'cognitive assistance systems', 'intralogistics', 'technology acceptance', 'usability', 'user experience']",1
2851,"['enterprise resource planning system (erp)', 'supply chain management', 'information visualization', 'information systems', 'information complexity', 'human factors', 'usability', 'cognitive abilities', 'user diversity', 'tables', 'alphanumeric displays', 'usability for industrial internet']",1
2852,"['human reliability analysis', 'human inherent factors', 'human error probability', 'physiological and psychological factors tests', 'cream']",1
2853,"['accident analysis', 'human error', 'system theoretic accident model and process', 'technique for the retrospective and predictive analysis of cognitive errors', 'oil and gas industry']",1
2854,"['human-cyber-physical system', 'human-robot collaboration', 'deep learning', 'smart assembly', 'augmented reality', 'digital twin']",1
2855,"['conflict detection', 'traffic safety', 'eye tracking', 'mental workload', 'cognitive strategy', 'decision making']",1
2856,"['industrie 4.0', 'digital', 'human centered decision support', 'learning factory', 'middle management', 'indirect sector']",1
2857,"['task interruptions', 'manual assembly', 'worker productivity']",1
2858,"['emotion recognition', 'facial recognition', 'hrv', 'emotional intelligence', 'affective computing', 'state of the art', 'review']",1
2859,"['cognitive ergonomics', 'marketing management', 'product choice', 'product innovation', 'product personality']",1
2860,"['primary care', 'human factors', 'health information technology']",1
2861,"['unsafe behavior', 'safety design', 'human reliability analysis', 'bayesian network']",1
2862,"['human reliability analysis', 'the integrated human event analysis system (idheas)', 'nuclear power plant (npp)']",1
2863,"['refresher training', 'visual cueing', 'attention guidance', 'complex task', 'retrieval']",1
2864,"['security', 'risk assessment', 'risk management', 'cognitive scalability', 'attack trees', 'model driven engineering']",1
2865,"['human-robot collaborative maintenance', 'mixed perception', 'decision-making', 'online deep reinforcement learning', 'augmented reality']",1
2866,"['3d modeling', 'education technology', 'human behavior analysis', 'elearning']",1
2867,"['chimpanzees', 'tool use', 'causal diagnostic reasoning', 'action disorders']",1
2868,"['sustainability', 'modelling social', 'environmental change', 'human-centered systems engineering']",1
2869,"['whole-body', 'control', 'free-floating', 'interaction', 'contacts', 'compliance']",1
2870,"['text classification', 'reinforcement learning', 'weak supervision', 'rationalizing neural prediction']",1
2871,"['robotic patents', 'labour-saving technology', 'search heuristics', 'probabilistic topic models']",1
2872,"['5g', 'new radio', 'lte', 'lte-a', 'iot', 'iiot', 'small cells', 'hetnet', 'm2m', 'cognitive networks', 'cooperative networks', 'proxy devices', 'device power savings', 'network energy reduction']",1
2873,"['manufacturing', 'speed', 'productivity', 'constraints']",1
2874,"['decisional dna', 'knowledge management', 'decision making', 'intellignece augmentation']",1
2875,"['predictive modelling', 'sensory networks', 'internet of things (iot)', 'emotional states', 'fuzzy petri nets']",1
2876,"['quality management', 'uncertain qfd', 'group decision-making approach', 'fuzzy preference relation', 'fuzzy majority']",1
2877,"['carbon dioxide', 'perceived air quality', 'acute health symptoms', 'cognitive performance', 'physiological responses']",1
2878,"['conditional automated driving', 'automation supervision', 'fallback readiness', 'driver state', 'non-driving related activity', 'interruption management']",1
2879,"['attention', 'spatial memory', 'spatial knowledge', 'eye-tracking', 'virtual reality']",1
2880,"['behavioural or', 'system dynamics', 'decision processes', 'control', 'stock-flow failure']",1
2881,"['technical cybernetics', 'information and cognitive technologies', 'mechatronics', 'translating', 'kind of energy', 'converting', 'digital equivalent of displacement']",1
2882,"['embodied cognition', 'human-robot partnership', 'trajectory formation', 'motor intention']",1
2883,"['maritime', 'ship bridge', 'model-based design', 'situation awareness', 'human-machine cooperation']",1
2884,"['explainable artificial intelligence (xai)', 'broad-xai', 'interpretable machine learning (iml)', 'artificial general intelligence (agi)', 'human-computer interaction (hci)']",1
2885,"['cyber-physical systems', 'knowledge management', 'cognitive agents', 'internet of things']",1
2886,"['situation', 'system', 'responsiveness', 'simplexity', 'knowledge-enhanced interoperability', 'systems engineering']",1
2887,"['artificial intelligence', 'affective computing', 'attention mechanism', 'emotion recognition', 'lightweight cnn', 'spectrograms', 'self-attention module']",1
2888,"['autonomous mobile robots', 'man/machine interaction', 'fuzzy control', 'behaviour-based control', 'human-robot interaction', 'etho-robotics']",1
2889,"['digital factory', 'jitir', 'factory planning']",1
2890,"['mental workload', 'pupillometry', 'assembly', 'external validity', 'wearability', 'eye tracking glasses']",1
2891,"['spoken language understanding', 'automatic interpretation of robotic commands', 'grounded language learning', 'human-robot interaction']",1
