,Publication Type,Article Title,Authors,Source Title,Volume,Start Page,End Page,Publication Year,Publication Date,ISSN,DOI,DOI Link,Author Keywords,Abstract,Issue,Conference Title
44,JOUR,Controlling and Optimization of On-time Delivery for Assemble-to-order Production System,"['Pabolu, Venkata Krishna Rao', 'Shrivastava, Divya', 'Kulkarni, Makarand S.']",IFAC-PapersOnLine,57,161,166,2024,2024/01/01/,2405-8963,https://doi.org/10.1016/j.ifacol.2024.05.028,['https://www.sciencedirect.com/science/article/pii/S2405896324000284'],"['Assemble-to-order', 'On-time Delivery', 'Multi-model assembly line', 'Statistical learning', 'Shipment Time Prediction', 'Set-up time prediction']","Meeting the delivery commitments is important for the success of any business. On the other hand, balancing other resources is also essential for business sustainability. This work provides a conceptual framework to make an optimization model to optimize the on-time delivery (OTD) for an Assemble-to-order (ATO) Production System. OTD optimization model is given by considering the delivery penalty, overtime working, manpower cost, and production item set-up time. The proposed model is helpful while making the daily production plan and work schedule of a multi-model assembly line. Furthermore, the optimization model is a integration of prediction and assembly line optimization models. Learning-based techniques are adopted to make the prediction model. Assembly line worker assignment and workload balancing algorithms are adopted to optimize the workforce or manpower cost. A use case illustration is given to understand the research scope better.",,8th Conference on Advances in Control and Optimization of Dynamical Systems ACODS 2024
45,JOUR,Benchmarking human-robot collaborative assembly tasks,"['Duarte, Laura', 'Neves, Miguel', 'Neto, Pedro']",Results in Engineering,22,102042,,2024,2024/06/01/,2590-1230,https://doi.org/10.1016/j.rineng.2024.102042,['https://www.sciencedirect.com/science/article/pii/S2590123024002950'],"['Assembly', 'Manufacturing', 'Collaborative robotics', 'Human-robot interaction']","Manufacturing assembly tasks can vary in complexity and level of automation. Yet, achieving full automation can be challenging and inefficient, particularly due to the complexity of certain assembly operations. Human-robot collaborative work, leveraging the strengths of human labor alongside the capabilities of robots, can be a solution for enhancing efficiency. This paper introduces the CT benchmark, a benchmark and model set designed to facilitate the testing and evaluation of human-robot collaborative assembly scenarios. It was designed to compare manual and automatic processes using metrics such as the assembly time and human workload. The components of the model set can be assembled through the most common assembly tasks, each with varying levels of difficulty. The CT benchmark was designed with a focus on its applicability in human-robot collaborative environments, with the aim of ensuring the reproducibility and replicability of experiments. Experiments were carried out to assess assembly performance in three different setups (manual, automatic and collaborative), measuring metrics related to the assembly time and the workload on human operators. The results suggest that the collaborative approach takes longer than the fully manual assembly, with an increase of 70.8%. However, users reported a lower overall workload, as well as reduced mental demand, physical demand, and effort according to the NASA-TLX questionnaire.",,
46,JOUR,The fuzzy human-robot collaboration assembly line balancing problem,"['Th. Zacharia, Paraskevi', 'Xidias, Elias K.', 'Nearchou, Andreas C.']",Computers & Industrial Engineering,187,109774,,2024,2024/01/01/,0360-8352,https://doi.org/10.1016/j.cie.2023.109774,['https://www.sciencedirect.com/science/article/pii/S0360835223007982'],"['Assembly line balancing', 'Human-robot collaboration', 'Fuzzy times', 'Bi-objective optimization']","Consideration is given to the assembly line balancing problem (ALBP) in production lines employed collaborative robots. Human–robot collaboration promises high advantages in manufacturing regarding automation, productivity, accuracy as well as flexibility in production. This technology is really challenging but requires redesigning of assembly lines to effectively involve the available human- and robot-resources. As robots can collaborate with humans sharing the assembly tasks in the same workstation, production managers experience an increasingly complex ALBP setting. Moreover, a crucial issue raised within this context is the variance and uncertainty in processing times for manual (human) work. Processing times for human work are subject to the nature and skills of the human worker. We explore the heuristic solution of this NP-hard problem using a problem-specific metaheuristic. Our aim is to investigate the effects of utilizing collaborate robots in manual assembly lines with respect to both production rate and workload smoothing. Simulation experiments on a real-life case study borrowed from the literature show how to tackle the problem under uncertainty (fuzziness) in task processing times.",,
47,JOUR,"Seru system balancing: Definition, formulation, and exact solution","['Yu, Yang', 'Wang, Junwei', 'Ma, Ke', 'Sun, Wei']",Computers & Industrial Engineering,122,318,325,2018,2018/08/01/,0360-8352,https://doi.org/10.1016/j.cie.2018.05.048,['https://www.sciencedirect.com/science/article/pii/S0360835218302572'],"['Manufacturing', 'production', 'Workload', 'Balancing']","Seru production can reduce makespan, labor hours and manpower by improving workers’ workload balance based on the reconfiguration of workers. Therefore, this study focuses on the fundamental principles of seru system balancing. For a seru, we define and formulate seru balance (SB) to describe workloads balance of the workers in the seru. For a seru system containing more serus, the seru system balance (SSB) needs to be evaluated from workloads balance of all workers and workloads balance among all serus. Consequently, we define and formulate intra-seru system balancing (Intra-SSB) and inter-seru system balancing (Inter-SSB) to evaluate the two perspectives respectively. We theoretically develop the lower and upper bounds of Intra-SSB and Inter-SSB respectively. In addition, we define and formulate the seru system balancing problem (SSBP) as a bi-objective model with maximizing Intra-SSB and Inter-SSB simultaneously. The property of solution space for SSBP is analyzed. Finally, we develop an improved algorithm based on ε-constraint for SSBP. The algorithm saves computation time by cutting non-Pareto-optimal solutions before performing ε-constraint.",,
48,JOUR,Analytic model to predict productivity in divisional Seru production environment,"['Bortolini, Marco']",Computers & Industrial Engineering,177,109058,,2023,2023/03/01/,0360-8352,https://doi.org/10.1016/j.cie.2023.109058,['https://www.sciencedirect.com/science/article/pii/S0360835223000827'],"['Divisional Seru', 'Productivity model', 'Advanced production environment', 'Production cell', 'Production systems’ engineering']","Advanced production environments emerged as the good solution to address the modern market challenges asking for a wide product mix and low time to market. Within cellular systems, made of independent, modular and flexible working areas, tailored on families of similar products, Serus are of increasing adoption for both manufacturing and assembly tasks. Among them, the so-called divisional Serus are the first step to move from the traditional production lines to a production environment made of a set of identical working areas, parallelising activities and enabling potential productivity increase. Despite their adoption in industry, starting from the electronic sector and moving forward, reference analytic models to predict divisional Seru productivity are rare in the literature, while their formulation and application is a gap to fill. This paper addresses this gap in theory, supporting the transition toward Seru production environment by proposing and proofing the analytic closed-form expressions getting the expected productivity of a divisional Seru made of a generic number of workers and a) one (base case), b) two (extension) and c) a generic number (general case) of product types to produce. Together with the steps to get the productivity expressions for these three cases of immediate practical applicability and not yet proposed by the literature, a case study and sensitivity analysis on the divisional Seru dimension showcase the proposed model industrial use and impact on the expected productivity. Key results highlight a stationary behaviour of the working time for all workers making the Seru productivity dependent on the sum of the workers speed and the product type workloads.",,
49,JOUR,"Traveling worker assembly line (re)balancing problem: Model, reduction techniques, and real case studies","['Sikora, Celso Gustavo Stall', 'Lopes, Thiago Cantos', 'Magatão, Leandro']",European Journal of Operational Research,259,949,971,2017,2017/06/16/,0377-2217,https://doi.org/10.1016/j.ejor.2016.11.027,['https://www.sciencedirect.com/science/article/pii/S0377221716309523'],"['Combinatorial optimization', 'Assembly line rebalancing', 'Real-world application', 'Traveling salesman problem', 'Mixed integer linear programming']","The assembly line balancing problem arises from equally dividing the workload among all workstations. Several solution methods explore different variants of the problem, but no model includes all characteristics real assembly lines might contain. This paper presents a mixed integer linear programming model that solves the Traveling Worker Assembly Line Balancing Problem (TWALBP). In this problem, the tasks’ balancing along with the assignment of workers to one or more workstations is determined for a given layout. The assignment flexibility is solved with a traveling salesman problem formulation integrated in the balancing model. Adapted standard datasets and three real case scenarios are used as benchmark sets. These scenarios present particularities such as human and robotic workers, assignment restrictions, zoning constraints, automatic and common tasks. The model successfully determines the tasks’ assignments and the routing of every worker for a layout aware optimization of assembly lines. Better quality balancing solutions were achieved allowing workers to perform tasks at multiple stations, showing a trade-off between assignment flexibility and movement time.",3,
50,JOUR,Enhancing manual inspection in semiconductor manufacturing with integrated augmented reality solutions,"['Chu, Chih-Hsing', 'Weng, Chen-Yu', 'Chen, Yu-Tzu']",Journal of Manufacturing Systems,77,933,945,2024,2024/12/01/,0278-6125,https://doi.org/10.1016/j.jmsy.2024.10.028,['https://www.sciencedirect.com/science/article/pii/S0278612524002541'],"['Augmented reality', 'Semiconductor manufacturing', 'Manual inspection', 'Human Error', 'Machine maintenance']","On-site routine inspection often remains a manual operation in the semiconductor manufacturing industry because implementing automated solutions can be costly and technically challenging in such a highly controlled and complex environment. The manual inspection is prone to errors due to the impact of demanding physical and mental workloads. This paper presents an integrated Augmented Reality (AR) solution developed to assist manual inspection tasks in the supporting areas of semiconductor manufacturing, referred to as the sub-fab. The solution is accessible to a human worker wearing an AR headset during the inspection process at the location. We propose a system framework to deploy computational intelligences of varying granularity provided by the solution across cloud, edge, and device levels, accommodating constraints within the sub-fab. A machine maintenance module helps estimate and monitor the health condition of running scrubbers. Incorrect intentions performed by the worker on the scrubber control panel are detected through hand gesture recognition. This instantly prompts warning messages in the AR headset to prevent subsequent wrong actions. The solution can also identify abnormal device states through 6D pose estimation of objects enabled by machine learning models. A test scenario demonstrates how these functional features enhance the inspection efficiency and quality by reducing human workloads. This work demonstrates that semiconductor manufacturing may require AR-assisted functions different from those needed or common in other industrial sectors. It also highlights the potential of AR technology for reducing operational human errors in manual tasks.",,
51,JOUR,Assembly complexity and physiological response in human-robot collaboration: Insights from a preliminary experimental analysis,"['Capponi, Matteo', 'Gervasi, Riccardo', 'Mastrogiacomo, Luca', 'Franceschini, Fiorenzo']",Robotics and Computer-Integrated Manufacturing,89,102789,,2024,2024/10/01/,0736-5845,https://doi.org/10.1016/j.rcim.2024.102789,['https://www.sciencedirect.com/science/article/pii/S0736584524000760'],"['Assembly complexity', 'Human-robot collaboration', 'Physiological signals', 'Humans’ well-being', 'Industry 5.0']","Industry 5.0 paradigm has renewed interest in the human sphere, emphasizing the importance of workers’ well-being in manufacturing activities. In such context, collaborative robotics originated as a technology to support humans in tiring and repetitive tasks. This study investigates the effects of assembly complexity in Human-Robot collaboration using physiological indicators of cognitive effort. In a series of experiments, participants performed assembly processes of different products with varying complexity, in two modalities: manually and with cobot assistance. Physiological measures, including skin conductance, heart rate variability and eye-tracking metrics were collected. The analysis of physiological signals showed trends suggesting the impact of assembly complexity and cobot support. One key finding of the study is that a single physiological signal usually may not provide a complete understanding of cognitive load. Therefore, a holistic approach should be followed. This approach highlighted the importance of considering multiple measures simultaneously to accurately assess workers’ well-being in industrial environments.",,
52,JOUR,Mixed-model parallel two-sided assembly line balancing problem: A flexible agent-based ant colony optimization approach,"['Kucukkoc, Ibrahim', 'Zhang, David Z.']",Computers & Industrial Engineering,97,58,72,2016,2016/07/01/,0360-8352,https://doi.org/10.1016/j.cie.2016.04.001,['https://www.sciencedirect.com/science/article/pii/S0360835216301012'],"['Assembly line balancing', 'Mixed-model lines', 'Parallel lines', 'Two-sided lines', 'Agent-based system', 'Ant colony optimization']","Assembly lines are frequently used as a production method to assemble complex products. Two-sided assembly lines are utilized to assemble large-sized products (e.g., cars, buses, trucks). Locating two lines in parallel helps improve line efficiency by enabling collaboration between the line workers. This paper proposes a mixed-model parallel two-sided assembly line system that can be utilized to produce large-sized items in an inter-mixed sequence. The mixed-model parallel two-sided line balancing problem is defined and the advantages of utilizing multi-line stations across the lines are discussed. A flexible agent-based ant colony optimization algorithm is developed to solve the problem and a numerical example is given to explain the method systematically. The proposed algorithm builds flexible balancing solutions suitable for any model sequence launched. The dynamically changing workloads of workstations (based on specific product models during the production process) are also explored. A comprehensive experimental study is conducted and the results are statistically analyzed using the well-known paired sample t-test. The test results indicate that the mixed-model parallel two-sided assembly line system reduces the workforce need in comparison with separately balanced mixed-model two-sided lines. It is also shown that the proposed algorithm outperforms the tabu search algorithm and six heuristics often used in the assembly line balancing domain.",,
53,JOUR,A human-cyber-physical system approach to lean automation using an industrie 4.0 reference architecture,"['Pantano, Matteo', 'Regulin, Daniel', 'Lutz, Benjamin', 'Lee, Dongheui']",Procedia Manufacturing,51,1082,1090,2020,2020/01/01/,2351-9789,https://doi.org/10.1016/j.promfg.2020.10.152,['https://www.sciencedirect.com/science/article/pii/S2351978920320096'],"['Human-cyber-physical system', 'lean automation', 'human-centred design', 'Industrie 4.0', 'RAMI 4.0']","The factory of the future requires flexibility and adaptability to satisfy market demands. However, these properties are difficult to ensure when collaborative manipulators are considered. Thus, approaches for integrating these devices, fostering the adoption of new engineering methodologies for augmenting manipulators are studied. In this work we address how integration of human operators with robotic manipulators might accommodate flexibility requirements using a concept of lean automation. To answer this question, we compare the current research in the field, and we propose a design structure which addresses safety, interfaces and design methods. Our results show safety hardware posing considerable constraints on flexibility. The human interface influences the workload perceived by an operator and, Industrie 4.0 reference architectures do not foresee the human and reconfigurable production cells yet. From a design prospective, this study emphasizes the need to take into consideration human and engineering aspects while planning for the factory of the future.",,30th International Conference on Flexible Automation and Intelligent Manufacturing (FAIM2021)
54,JOUR,Workforce Scheduling Considering Physical and Mental Workload: A Case Study of Domestic Freight Forwarding,"['Dewi, Dyah Santhi', 'Septiana, Tyasiliah']",Procedia Manufacturing,4,445,453,2015,2015/01/01/,2351-9789,https://doi.org/10.1016/j.promfg.2015.11.061,['https://www.sciencedirect.com/science/article/pii/S2351978915011774'],"['Physical workload', 'mental Workload', 'NASA_TLX', 'workforce scheduling', 'domestic freight forwarding']","Manufacturing industry depend heavily on logistic service provider to distribute their product. Logistic company ussualy work based on order from manufacturer. Depending on the circumtances, orders received by logistic service provider in most cases are uncertain. Fluctuations or uncertainty of order becomes a problem to many logistic companies because it affects the way they have to schedule their workers. Workforce scheduling is hence necessary for allocating appropriate worker in the right place and in the right time. Inappropriate workforce scheduling could imbalance workloads within workers which leads to worker dissatisfaction. This study therefore aims to design a workforce scheduling that consider worker workload of Domestics Freight Forwarding particularly in Company X. The research will first measure the workload, both physical and mental workload. The method used for physical workload measurement is based on calorie consumptions based on Indonesia National Standard (SNI). Whereas NASA-TLX subjective approach method is used to measure mental workload. Then, by using the result of the workload measurements, a workforce scheduling model is designed to balance the workload. Goal programing is used to model the workforce scheduling. The result of workload measurement shows that workers have low productivity but high level of mental workload, while for the physical workload there is no significant difference in each warehouse and shipping. In order to increase the utility of the workers, instead of 3 shifts it is suggested that company apply 2 shifts work systems for Checker. Also, minimizing factors that reduce the productivity such the mobility of outstation (dinas luar).",,"Industrial Engineering and Service Science 2015, IESS 2015"
55,JOUR,Distracted worker: Using pupil size and blink rate to detect cognitive load during manufacturing tasks,"['Biondi, Francesco N.', 'Saberi, Babak', 'Graf, Frida', 'Cort, Joel', 'Pillai, Prarthana', 'Balasingam, Balakumar']",Applied Ergonomics,106,103867,,2023,2023/01/01/,0003-6870,https://doi.org/10.1016/j.apergo.2022.103867,['https://www.sciencedirect.com/science/article/pii/S0003687022001909'],"['Cognitive load', 'Blink rate', 'Pupil size', 'Manufacturing']","This study sets out to extend the use of blink rate and pupil size to the assessment of cognitive load of completing common automotive manufacturing tasks. Nonoptimal cognitive load is detrimental to safety. Existing occupational ergonomics approaches come short of measuring dynamic changes in cognitive load during complex assembling tasks. Cognitive demand was manipulated by having participants complete two versions of the n-back task (easy, hard). Two durations of the physical task were also considered (short, long). Pupil size and blink rate increased under greater cognitive task demand. High cognitive load also resulted in longer task completion times, and higher ratings of mental and temporal demand, and effort. This exploratory study offers relevant insights on the use of ocular metrics for cognitive load assessment in occupational ergonomics. While the existing eye-tracking technology may yet limit their adoption in the field, they offer advantages over the more popular expert-based and self-reported techniques in measuring changes in cognitive load during dynamic tasks.",,
56,JOUR,An Augmented Reality inspection tool to support workers in Industry 4.0 environments,"['Marino, Emanuele', 'Barbieri, Loris', 'Colacino, Biagio', 'Fleri, Anna Kum', 'Bruno, Fabio']",Computers in Industry,127,103412,,2021,2021/05/01/,0166-3615,https://doi.org/10.1016/j.compind.2021.103412,['https://www.sciencedirect.com/science/article/pii/S0166361521000191'],"['Augmented Reality', 'Industry 4.0', 'Operator 4.0', 'Google ARCore', 'Marker-based tracking', 'Usability studies']","Among the key technologies of Industry 4.0, Augmented Reality (AR) is one of the most promising and enabling technologies for supporting factory workers and engineers at the workplace. To this end, the paper proposes a novel AR tool to assist operators during the inspection activities for the detection of production and assembly errors. In fact, thanks to the superimposition of the 3D models, as designed by the technical office, a worker can easily detect the presence of design discrepancies on the final physical assembled product and report them by adding 3D annotations directly on virtual models. This AR tool has been developed by using ARCore™ libraries to ensure, in the first place, its compatibility with commonly used devices for which workers are already trained and, secondly, to take advantage of the hybrid-tracking techniques that combine vision- and sensor-based methods to improve the reliability of the AR visualization. Nevertheless, the proposed AR tool adopts multiple markers to minimize tracking errors and therefore to provide greater freedom of movement to the user, who can use the tool also for the assessment of large-size products. Field experimentations have been carried out on a real case study with end-users in order to assess its usability and perceived mental workload through the SUS (System Usability Scale) and NASA-TLX (Task Load Index) standard questionnaires, respectively. The usability study was performed taking into account also objective metrics, i.e., by analysing user performance in target acquisition tasks while interacting with the AR tool. Statistical analysis proved that the adoption of this AR tool requires low mental demand, and its usability has reached a high level of satisfaction both by the factory workers and engineers involved in the user study.",,
57,JOUR,Towards Multimodal Information Systems for Assisting Humans in Production and Logistics Processes,"['Börold, Axel', 'Schweers, Dirk', 'Freitag, Michael']",Procedia CIRP,120,1089,1094,2023,2023/01/01/,2212-8271,https://doi.org/10.1016/j.procir.2023.09.130,['https://www.sciencedirect.com/science/article/pii/S2212827123008624'],"['Keywords', 'Industry 5.0', 'Information Systems', 'Cognitive Assistance', 'Human Computer Interface']","Information support systems for coping with and mastering increasing process complexity are becoming a success factor for many companies. The information systems available today are predominantly implemented as mobile applications and, as the range of functions grows, place increasingly high demands on the user interface. To reduce the cognitive load, these are tailored to the user and are limited in functionality or require special training, which is costly and impractical for some user groups. Current voice interaction interfaces offer advantages in this context, but the communication of data to the user can be done more meaningfully and clearly in graphical or multimodal form. Furthermore, both interaction modes neglect essential sources of information in industrial and logistics use cases, such as available information about documents and physical properties of objects. Methodologically, this contribution proceeds as follows: First, a literature review was conducted on Cognitive Load Theory, Human-Computer Interaction, Social Response Theory, and the cooperative principle of conversation with a focus on human-machine interaction. Subsequently, expert interviews on relevant application areas in the field of production and logistics were conducted in order to identify use cases and derive system requirements. Based on the findings, a concept for an stationary adaptive multimodal information system was developed, which, to our knowledge, does not exist yet due to the combination of a 2D/3D scanner and conversational intelligence and can be used to improve human-machine interaction in the context of Industry 5.0.",,56th CIRP International Conference on Manufacturing Systems 2023
58,JOUR,On the Selection of Ergonomics Evaluation Methods for Human Centric Manufacturing Tasks,"['Arkouli, Zoi', 'Michalos, George', 'Makris, Sotiris']",Procedia CIRP,107,89,94,2022,2022/01/01/,2212-8271,https://doi.org/10.1016/j.procir.2022.04.015,['https://www.sciencedirect.com/science/article/pii/S2212827122002311'],"['human centric design', 'ergonomics assessment', 'physical workload evaluation', 'cognitive workload evaluation']","The last years several methods and sensors have emerged for the assessment of the physical and cognitive loads that human workers experience during the execution of manufacturing tasks. Questionnaires, videos, simulation data, IMU sensors, etc. are some of the data collection methods that can provide important data for the physical (skeleton joint angles, perceived fatigue, covered distance, and so forth), as well as for the cognitive (e.g., perceived user experience, eye movement, latency of movement) workload evaluation. However, there is no commonly accepted method to guide the practitioners in selecting the appropriate method and means to evaluate their task of interest. This paper goes a step further from the existing formal guidelines by considering aspects such as the stage of development of the manufacturing tasks and weighting the cognitive and physical aspects as per the task’s nature. The proposed multi-criteria decision making method will map the custom requirements of each case in terms of cost, time, expertise, and available technology to the ones that each data collection method can meet in order to suggest an appropriate method. The proposed approach is applied in a case study coming from the bus and coach sector, where a mixed task (cognitive and physical effort) is assessed using video recordings and interviews.",,Leading manufacturing systems transformation – Proceedings of the 55th CIRP Conference on Manufacturing Systems 2022
59,JOUR,Motion priority optimization framework towards automated and teleoperated robot cooperation in industrial recovery scenarios,"['Itadera, Shunki', 'Domae, Yukiyasu']",Robotics and Autonomous Systems,,104833,,2024,2024/10/23/,0921-8890,https://doi.org/10.1016/j.robot.2024.104833,['https://www.sciencedirect.com/science/article/pii/S0921889024002173'],"['Manufacturing recovery', 'Robot teleoperation', 'Motion priority optimization', 'Human–robot cooperation']","In this study, we introduce an optimization framework to enhance the efficiency of motion priority design in scenarios involving automated and teleoperated robots within an industrial recovery context. The increasing utilization of industrial robots at manufacturing sites has been instrumental in reducing human workload. Nevertheless, achieving effective human–robot collaboration/cooperation (HRC) remains a challenge, especially when human workers and robots share a workspace for collaborative tasks. For instance, when an industrial robot encounters a failure, such as dropping an assembling part, it triggers the suspension of the corresponding factory cell for safe recovery. Given the limited capacity of pre-programmed robots to rectify such failures, human intervention becomes imperative, requiring entry into the robot workspace to address the dropped object while the robot system is halted. This discontinuous manufacturing process results in productivity loss. Robotic teleoperation has emerged as a promising technology enabling human workers to undertake high-risk tasks remotely and safely. Our study advocates for the incorporation of robotic teleoperation in the recovery process during manufacturing failure scenarios, which is referred to as “Cooperative Tele-Recovery”. Our proposed approach involves formulating priority rules designed to facilitate collision avoidance between manufacturing and recovery robots. This, in turn, ensures a continuous manufacturing process with minimal production loss within a configurable risk limitation. We present a comprehensive motion priority optimization framework composed of an HRC simulator and a cooperative multi-robot controller to identify optimal parameters for the priority function. The framework dynamically adjusts the allocation of motion priorities for manufacturing and recovery robots while adhering to predefined risk limitations. Through quantitative and qualitative assessments, we validate the novelty of our concept and demonstrate its feasibility.",,
60,JOUR,Fundamental Knowledge Acquisition by Using Wearable Sensor for “KEIROKA” of Construction Industry,"['TSUCHIYA, Yoshio', 'TANAKA, Yoshifumi', 'TANAKA, Takayuki']",IFAC-PapersOnLine,56,9709,9714,2023,2023/01/01/,2405-8963,https://doi.org/10.1016/j.ifacol.2023.10.282,['https://www.sciencedirect.com/science/article/pii/S2405896323006341'],"['KEIROKA', 'Lumbar load', 'Wearable Sensor', 'Robotics technology', 'Human-centered systems engineering']","“KEIROKA” is a new concept of work assistance that aims to simultaneously reduce physical burden and maintain physical capacity with the goal of extending healthy working life. Two important findings are necessary for the appropriate introduction of KEIROKA assistive technologies, such as power-assistive suits and work support robots, into the field. One is to know the physical abilities and skills of each worker. The other is to quantify the work content and physical burden of each worker. We have tested the physical performance of construction workers, conducted questionnaires on back pain, and also measured their physical workload using wearable sensors. The workload did not change with the presence or absence of LBP and age but tended to change with physical ability.",2,22nd IFAC World Congress
61,JOUR,A CoBot Reinforcement Framework To Facilitate Assembly line Workers,"['Pabolu, Venkata Krishna Rao']",Procedia CIRP,118,241,246,2023,2023/01/01/,2212-8271,https://doi.org/10.1016/j.procir.2023.06.042,['https://www.sciencedirect.com/science/article/pii/S2212827123002652'],"['Collaborative assembly system', 'Assembly worker facilitation', 'Cobots']",This work provides a methodological framework to introduce the CoBots into an assembly line to facilitate an assembly line worker. The CoBots are to facilitate an assembly line worker working long or providing assistance during a work-fatigue condition by sharing their workload. A conceptual framework is given to split an assembly task into seven sub-tasks then collaboration possibilities are proposed to provide sub-task level assistance. An appropriate framework is provided for utilising the collaboration possibilities to increase an assembly line worker's comfortable work duration time and reduce the worker work rotations between work breaks or model changeovers.,,16th CIRP Conference on Intelligent Computation in Manufacturing Engineering
62,JOUR,Improving ergonomics in mixed-model assembly lines balancing noise exposure and energy expenditure,"['Mura, Michela Dalle', 'Dini, Gino']",CIRP Journal of Manufacturing Science and Technology,40,44,52,2023,2023/02/01/,1755-5817,https://doi.org/10.1016/j.cirpj.2022.11.005,['https://www.sciencedirect.com/science/article/pii/S1755581722001730'],"['Mixed-model assembly line balancing', 'Ergonomics', 'Noise exposure', 'Energy expenditure', 'Job rotation', 'Genetic algorithm']","In the manufacturing industry, assembly processes involve most of the workforce to deal with the many manual operations. Thus, the design of workplaces must take into account ergonomics to promote workers well-being and safeguard their health and safety, also enhancing productivity. The occupational ergonomic risk not only depends on the physical workload of a task, but also on environmental characteristics of the workplace, including noise, the assessment of which may contribute to prevent workers from possible health issues associated to hearing injuries. In this regard, the present study proposes a software tool based on a genetic algorithm for solving the mixed-model assembly line balancing problem with job rotation and collaborative robots to improve workers’ ergonomics, for the evaluation of which noise exposure is also considered. In particular, the objectives of the problem concern economic aspects, which are taken into account through the optimization of the cost of the line, and ergonomics, which is pursued by reducing and smoothing both workers’ energy expenditure and noise exposure for performing operations on the line. To test the effectiveness of the proposed approach, an industrial case study is finally discussed.",,
63,JOUR,Multi-objective complex product assembly scheduling problem considering parallel team and worker skills,"['Liu, Ziwen', 'Liu, Jianhua', 'Zhuang, Cunbo', 'Wan, Feng']",Journal of Manufacturing Systems,63,454,470,2022,2022/04/01/,0278-6125,https://doi.org/10.1016/j.jmsy.2022.05.003,['https://www.sciencedirect.com/science/article/pii/S0278612522000735'],"['Flow shop scheduling problem', 'Assembly line of complex products', 'Multiple objective evolutionary algorithm', 'Multi-skilled and multilevel worker']","The flow shop scheduling problem (FSP) is a classic shop scheduling problem with a strong engineering background. As an extension of FSP, the hybrid flow shop scheduling problem (HFSP) involves parallel machine scheduling, and the worker assignment problem on assembly lines (WAPAL) involves worker allocation. Parallel machine scheduling and multi-skilled and multilevel worker allocation are both involved in the actual assembly lines of complex products, but few studies have investigated them simultaneously. This work studies a complex product assembly line scheduling problem considering multi-skilled worker assignment and parallel team scheduling and takes the maximum completion time and the imbalance degree of team workload as the optimization objective. An integer programming model is proposed, and a hybrid coding method considers the worker assignment and task order. Three improved strategies based on a multiple objective evolutionary algorithm (MOEA) are proposed in the local search. Finally, 20 test instances are generated based on actual enterprise labor data, and the results based on the three strategies are compared with six MOEAs. The results show that the three strategies are superior in terms of the quality and distribution of solutions. The inverted generational distance (IGD) index value is increased by 49.97%, 47.89%, 47.08% respectively and the hypervolume (HV) index value is increased by 39.76%, 38.19%, 38.15% respectively.",,
64,JOUR,May I Have Your Attention?! Exploring Multitasking in Human-Robot Collaboration,"['Eesee, Abdulrahman K.', 'Kostolani, David', 'Kang, Taeho', 'Schlund, Sebastian', 'Medvegy, Tibor', 'Abonyi, János', 'Ruppert, Tamás']",IFAC-PapersOnLine,58,241,246,2024,2024/01/01/,2405-8963,https://doi.org/10.1016/j.ifacol.2024.09.179,['https://www.sciencedirect.com/science/article/pii/S2405896324015945'],"['Attention', 'Human-Robot Interaction', 'Multitasking', 'Collaborative Assembly']","Human-robot collaboration promises to free the human to multitask and engage in cognitive work while the robots assists with physical tasks, therefore increasing productivity. However, this collaborative paradigm requires continuous attention from human operators, which could potentially strain their cognitive resources. Excessive attention demands can lead to safety hazards, increased errors, and reduced efficiency. Despite its critical importance, there is limited empirical research on attentional factors in industrial human-robot collaboration. In this study, we explore attentional multitasking in collaborative human-robot assembly settings. Our experimental setup involves participants performing a wire harnessing task with a collaborative robot while simultaneously completing a Go/No-Go test as a secondary task. To observe the effect of multitasking, we varied the difficulty of the secondary task across two levels and analysed its impacts on work performance and workload. Our results confirm threaded cognition theory, suggesting that human-robot collaboration could reduce cognitive capacity by depleting attentional resources, leading to higher errors and cycle times during multitasking. This underscores the importance of a detailed understanding of attentional factors in human-robot collaboration. We discuss our findings and their implications, and provide insights into the adjustment and design of human-robot collaboration tasks in the industry.",19,18th IFAC Symposium on Information Control Problems in Manufacturing INCOM 2024
