,Article Title,Authors,Abstract,Volume,Source Title,Publication Year,ISSN,DOI,Source
164,Augmented reality for industrial quality inspection: An experiment assessing task performance and human factors,Seeliger A.; Cheng L.; Netland T.,"Augmented reality (AR) technologies promise to increase the flexibility and productivity of the workforce by providing real-time information to workers right where it is needed. Following Cognitive Load Theory and Attention Theory, AR assistance can reduce the burden on workers’ mental capacity while performing a task, thereby improving task performance. The benefits of AR on industrial activities like assembly or maintenance have been investigated extensively, but the literature on AR-assisted quality control, specifically, quality inspection, is scarce. This stands in contrast to the importance of industrial quality inspection and highlights the need for research on the topic. In this work, we develop an AR-based system for head-mounted displays (HMDs) that visualizes product defects directly on physical products. We investigate its effect on task performance and human factors through an experiment. Participants performed multiple quality inspections using real manufacturing products and equipment with the help of an AR HMD, a screen, or no additional help. We find increased task performance using the AR HMD system. In comparison to screen-based assistance, a moderating effect of task difficulty was observed. Specifically, AR was more beneficial to task completion times given a difficult task. Furthermore, the AR HMD system reduced mental workload and received a positive rating regarding user experience. Our work contributes to the research in industrial AR usage through a novel AR HMD system for quality inspection and provides so far missing empirical and theoretically grounded evidence on its benefits with regard to task performance and human factors. © 2023 The Author(s)",151,Computers in Industry,2023,01663615,10.1016/j.compind.2023.103985,SCO
165,The study on workload analysis of construction workers operating at elevated jobsite using wearable physiological monitor,Chen W.-C.; Chia C.M.; Tserng H.P.; Teh C.H.,"Occupational accidents and casualties in the construction industry are ranked first among all industries. Construction workers are urged to avoid increasing workload and fatigue due to work environment factors in the jobsite with specific hazards of high risk. The present study adopts the photoplethysmography (PPG) monitoring technology of the wearable wristband for monitoring the heart rate (HR). The study establishes the heart rate schema of the workers, evaluate their workload levels, and verify the physiological impact of working at elevated jobsite on the workload through a statistical T-test. In this study, the T-test in pairs reaches the results of 15-minute time interval unit is the most suitable data analysis interval. The worker working in an elevated environment increases heart rate due to the afraid of height and relatively reduce the worker’s ability to adapt to tasks with high physical demands. It is estimated that more than 10% of working time increased from moderate to heavy workload. © 2024 The Chinese Institute of Engineers.",47,"Journal of the Chinese Institute of Engineers, Transactions of the Chinese Institute of Engineers,Series A",2024,02533839,10.1080/02533839.2024.2334208,SCO
166,Lean Warehouse Management through Value Stream Mapping: A Case Study of Sugar Manufacturing Company in Thailand,Ketchanchai P.; Tangchaidee K.; Kongprasert N.,"The price war is commercial competition characterized by the repeated cutting of prices below those of competitors. The sugar industry is the country's most important business in Thailand that is facing a price wars competition in the global market. Sugar manufacturers have to eliminate and reduce the cost that occurs from non-value-added activities from processes to compete with the producer from other countries. Then, lean manufacturing (LM) is used to be a systematic approach for the identification and elimination of wastes (non-value-added activities) from processes. It can apply to all types of business organizations to enhance productivity and minimize cost. This study aims to apply lean manufacturing for analyzing, improving and eliminating unnecessary activities through value stream mapping (VSM) in warehouse management of sugar manufacturing company in Thailand. All activities are broken down into smaller activities to can be analyzed via workload analysis. ECRS principle is used to make up new activities after identifying the waste and the optimal workflows. The results illustrated that one operation process was removed, the number of workers was decreased by 3 persons, the cycle time of warehouse management decreased by 36% and the total workload of workers decreased by 48%. © 2021 IEEE.",,"2021 IEEE 8th International Conference on Industrial Engineering and Applications, ICIEA 2021",2021,,10.1109/ICIEA52957.2021.9436732,SCO
167,Towards large-scale evaluation of mental stress and biomechanical strain in manufacturing environments using 3D-referenced gaze and wearable-based analytics,Paletta L.; Ganster H.; Schneeberger M.; Pszeida M.; Lodron G.; Pechstädt K.; Spitzer M.; Reischl C.,"In future manufacturing human-machine interaction will evolve towards flexible and smart collaboration. It will meet requirements from the optimization of assembly processes as well as from motivated and skilled human behavior. Recently, human factors engineering has substantially progressed by means of detailed task analysis. However, there is still a lack in precise measuring cognitive and sensorimotor patterns for the analysis of long-term mental and physical strain. This work presents a novel methodology that enables real-time measurement of cognitive load based on executive function analyses as well as biomechanical strain from non-obtrusive wearable sensors. The methodology works on 3D information recovery of the working cell using a precise stereo measurement device. The worker is equipped with eye tracking glasses and a set of wearable accelerometers. Wireless connectivity transmits the sensor-based data to a nearby PC for monitoring. Data analytics then recovers the 3D geometry of gaze and viewing frustum within the working cell and furthermore extracts the worker's task switching rate as well as a skeleton-based approximation of worker's posture associated with an estimation of biomechanical strain of muscles and joints. First results enhanced by AI-based estimators demonstrate a good match with the results of an activity analysis performed by occupational therapists.  © 2021, Society for Imaging Science and Technology.",2021,IS and T International Symposium on Electronic Imaging Science and Technology,2021,24701173,10.2352/ISSN.2470-1173.2021.6.IRIACV-310,SCO
168,Towards mobile projective AR for construction co-robots,Xiang S.; Wang R.; Feng C.,"The construction industry has been suffering from both low labor productivity growth and safety issues, due to the increasing project site complexities and the lack of skilled labors. As a potential technical solution, Augmented Reality (AR) has been studied to reduce the cognitive workloads in construction job sites by visualizing task-related information in the direct context of the workspace and operations. Instead of using helmets/goggles that may decrease users’ field of views, we advocate mobile projectors for AR (MPAR), and propose a camera-projector system to ensure consistent AR projection even if the projectors may change poses when installed on mobile platforms such as human workers or even construction collaborative robots (co-robot). By obtaining the projector’s pose relative to the projection plane (e.g., a wall or panel on construction site) via composing a series of homography transformations in this system, we could determine how to warp virtual information (images or 3D models) for desired projections, no matter whether human observers’ head poses are needed. We demonstrate the effectiveness of the method using two construction AR applications: displaying occluded as-planned or as-built facility information behind a mock-up wall. © 2019 International Association for Automation and Robotics in Construction I.A.A.R.C. All rights reserved.",,"Proceedings of the 36th International Symposium on Automation and Robotics in Construction, ISARC 2019",2019,,10.22260/isarc2019/0147,SCO
169,Assessment of isometric pulls strength of industrial cart pullers - An electromyography study from an apparel manufacturing industry,Rashid Z.; Shafiq M.; Aslam M.A.; Menanno M.; Iqbal N.; Khan H.B.; Ragno P.,"Manual material handling and occupational tasks demanding physical push-pull activities are very common in various industrial settings regardless of automation. These activities may become the cause of fatigue, accidents and/or different occupational hazards if not properly focused to balance workload as per physical strength and stamina of the worker. This cross-sectional study was conducted to assess the isometric pull strength of apparel cart/trolley pullers and muscular activity of upper limbs. Jackson strength evaluation system was used to measure isometric pull strengths while IXTA Data Acquisition System to measure and analyze the muscle activity. The experiments were conducted with twenty work-in-process (WIP) manual material handlers of an apparel manufacturing industry. Electromyographical (EMG) data of muscle activity was collected by placing electrodes on pronator teres, brachial biceps, pectoralis major and lower trapezius muscles during the pull tasks. The results show that torso pull in seated posture has the maximum isometric average value of 62.20 ± 5.91 kg while arm lift has the minimum strength value of 37.10 ± 4.61 kg. Assessment of muscle fatigue caused by pulling force is important in determining job severity of workers and mitigating occupational injuries which help in balancing workloads for effective management. © 2019 The Authors. Published by Elsevier Ltd.",39,Procedia Manufacturing,2019,23519789,10.1016/j.promfg.2020.01.307,SCO
170,Assessment of implicit and explicit measures of mental workload in working situations: Implications for industry 4.0,Mingardi M.; Pluchino P.; Bacchin D.; Rossato C.; Gamberini L.,"Nowadays, in the context of Industry 4.0, advanced working environments aim at achieving a high degree of human-machine collaboration. This phenomenon occurs, on the one hand, through the correct interpretation of operators' data by machines that can adapt their functioning to support workers, and on the other hand, by ensuring the transparency of the actions of the system itself. This study used an ad hoc system that allowed the co-registration of a set of participants' implicit and explicit (I/E) data in two experimental conditions that varied in the level of mental workload (MWL). Findings showed that the majority of the considered I/E measures were able to discriminate the different task-related mental demands and some implicit measures were capable of predicting task performance in both tasks. Moreover, self-reported measures showed that participants were aware of such differences in MWL. Finally, the paradigm's ecology highlights that task and environmental features may affect the reliability of the various I/E measures. Thus, these factors have to be considered in the design and development of advanced adaptive systems within the industrial context. © 2020 by the authors.",10,Applied Sciences (Switzerland),2020,20763417,10.3390/APP10186416,SCO
171,Unsupervised-based framework for aged worker’s stress detection,Rescio G.; Leone A.; Siciliano P.,"The new industry 4.0 paradigm provides for totally automated and interconnected industrial production processes that require greater human-machine interaction. This involves the onset of new problems related to the stress evaluation of the aged worker which is found to operate in new and more complex work contexts. In literature several works for human stress detection are presented, they use above supervised machine learning with high accuracy level detection, but needed a complicated training phase. Moreover, a relevant issue in the field of stress detection lies in the model validation, indeed the commonly questionnaires used to record perceived stress levels are prone to subjective inaccuracies. To reduce this limitation, in this paper an unsupervised machine learning based stress detection system, in which the labels from perceived stress levels are not needed, is presented. It analyses heart rate, galvanic skin response and electrooculogram signals, relevant for the detection of excessive stress and cognitive load. The developed architecture software has been experimented in laboratory contest and preliminary obtained results appear promising. © 2020 Copyright for this paper by its authors.",2804,CEUR Workshop Proceedings,2020,16130073,,SCO
172,Multi‐manned assembly line balancing: Workforce synchronization for big data sets through simulated annealing,Pilati F.; Ferrari E.; Gamberi M.; Margelli S.,"The assembly of large and complex products such as cars, trucks, and white goods typi-cally involves a huge amount of production resources such as workers, pieces of equipment, and layout areas. In this context, multi‐manned workstations commonly characterize these assembly lines. The simultaneous operatorsʹ activity in the same assembly station suggests considering com-patibility/incompatibility between the different mounting positions, equipment sharing, and worker cooperation. The management of all these aspects significantly increases the balancing problem complexity due to the determination of the start/end times of each task. This paper proposes a new mixed‐integer programming model to simultaneously optimize the line efficiency, the line length, and the workload smoothness. A customized procedure based on a simulated annealing algorithm is developed to effectively solve this problem. The aforementioned procedure is applied to the balancing of the real assembly line of European sports car manufacturers distinguished by 665 tasks and numerous synchronization constraints. The experimental results present remarkable performances obtained by the proposed procedure both in terms of solution quality and computation time. The proposed approach is the practical reference for efficient multi‐manned assembly line design, task assignment, equipment allocation, and mounting position management in the considered industrial fields. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",11,Applied Sciences (Switzerland),2021,20763417,10.3390/app11062523,SCO
173,Mental workload of local vs remote operator in human-machine interaction case study,Zimmer M.; Al-Yacoub A.; Ferreira P.; Hubbard E.-M.; Lohse N.,"Since late 2019, a novel Coronavirus disease 2019 (COVID-19) has spread globally. As a result, businesses were forced to send their workforce into remote working, wherever possible. While research in this area has seen an increase in studying and developing technologies that allow and support such remote working style, not every sector is currently prepared for such a transition. Especially the manufacturing sector has faced challenges in this regard. In this paper, the mental workload of two groups of participants is studied during a human-robot interaction task. Participants were asked to bring a robotised cell used in a dispensing task to full production by tuning system parameters. After the experiment, a self-assessment of the participants' perceived mental workload using the NASA Task Load Index (NASA-TLX) was used. The results show that remote participants tend to have lower perceived workload compared to the local participants. © 2021 The authors and IOS Press.",15,Advances in Transdisciplinary Engineering,2021,2352751X,10.3233/ATDE210008,SCO
174,Work Tempo Instruction Framework for Balancing Human Workload and Productivity in Repetitive Task,Shirakura N.; Yamanobe N.; Maruyama T.; Domae Y.; Ogata T.,"This paper proposes a feedback framework that adjusts human workload and productivity by instructing work tempo and personalizes work according to individual differences. For feedback of optimal work tempo, this study proposes a human worker state transition model to investigate the effects of work tempo instructions on workload and productivity. Based on the results obtained, we proposed a feedback policy using our proposed worker state transition model. By testing our proposed framework in a picking task, we showed the possibility to balance productivity and workload. © 2024 Copyright held by the owner/author(s)",,ACM/IEEE International Conference on Human-Robot Interaction,2024,21672148,10.1145/3610978.3640756,SCO
175,Research on collaborative task assignment method of assembly line,Shen W.; Jiang Q.; Yang Y.,"Purpose: The purpose of this paper is to construct a task assignment model for U-shaped production lines with collaborative task, which is optimized by minimizing the number of workers and balancing the workload of the operators. The ultimate goal is to increase productivity by increasing the U-line balance and balancing the load on the operators. Design/methodology/approach: First, task selection and update mechanism are analyzed and the task selection mechanism suitable for collaborative task is proposed. Second, M-COMOSAL is obtained by improving the original COMOSAL. Finally, The M-COMOSAL algorithm and the COMAOSAL algorithm are used to perform job assignment on the double-acting clutch U-shaped assembly line. Findings: According to the allocation scheme obtained by M-COMSOAL, the beat can be adjusted according to the change of order demand. The final allocation scheme is superior to the COMSOAL algorithm in terms of number of workers, working time, production tempo and balance rate. In particular, compared with the old scheme, the new scheme showed a decrease of 16.7% in the number of employees and a 18.8% increase in the production line balance rate. Thus, the method is helpful to reduce the number of operators and balance the workload. Originality/value: The new algorithm proposed in this paper for the assignment of collaborative task can minimize the number of workers and balance the load of operators, which is of great significance for improving the balance rate of U-shaped production lines and the utilization of personnel or equipment. © 2021, Emerald Publishing Limited.",42,Assembly Automation,2022,01445154,10.1108/AA-08-2020-0114,SCO
176,"Seru system balancing: Definition, formulation, and exact solution",Yu Y.; Wang J.; Ma K.; Sun W.,"Seru production can reduce makespan, labor hours and manpower by improving workers’ workload balance based on the reconfiguration of workers. Therefore, this study focuses on the fundamental principles of seru system balancing. For a seru, we define and formulate seru balance (SB) to describe workloads balance of the workers in the seru. For a seru system containing more serus, the seru system balance (SSB) needs to be evaluated from workloads balance of all workers and workloads balance among all serus. Consequently, we define and formulate intra-seru system balancing (Intra-SSB) and inter-seru system balancing (Inter-SSB) to evaluate the two perspectives respectively. We theoretically develop the lower and upper bounds of Intra-SSB and Inter-SSB respectively. In addition, we define and formulate the seru system balancing problem (SSBP) as a bi-objective model with maximizing Intra-SSB and Inter-SSB simultaneously. The property of solution space for SSBP is analyzed. Finally, we develop an improved algorithm based on ε-constraint for SSBP. The algorithm saves computation time by cutting non-Pareto-optimal solutions before performing ε-constraint. © 2018 Elsevier Ltd",122,Computers and Industrial Engineering,2018,03608352,10.1016/j.cie.2018.05.048,SCO
177,Sensitivity analysis and validation of a genetic approach to enhance ergonomics in assembly lines,Dalle Mura M.; Dini G.,"Manual assembly processes are largely performed today in the industry to benefit from human features of dexterity and flexibility. For this reason, the human factor should be properly regarded when designing assembly processes and systems, where repetitive and physically demanding operations are frequent. This work aims to present and validate a software tool for solving a bi-objective version of the assembly line balancing problem, in which, besides the efficiency of the process, the optimization of ergonomics is pursued. The software, based on a genetic algorithm, aims to distribute assembly tasks on the line to smooth the energetic workload among the different workers assigned to manual workstations, considering their physical capabilities and limits. To validate the system and assess its robustness, tests for different case studies taken from the industrial reality are presented and discussed, together with a sensitivity analysis conducted on problem parameters. Experimental results show that the developed tool optimizes the two objectives in different scenarios, thus demonstrating its profitable use in the industrial reality for planning manual assembly processes that do not overload workers assigned to the line. © 2023, The Author(s).",18,Production Engineering,2024,09446524,10.1007/s11740-023-01219-1,SCO
178,Human-Supervised Automation Test Cell to Accelerate Personal Protective Equipment Manufacturing During the COVID-19 Pandemic,Shaham M.H.; Skopin M.; Hochsztein H.; Mabulu K.; Milburn L.; Tukpah J.; Tunik A.; Winn J.; Zolotas M.; Erdogmus D.; Padir T.,"The shortage of medical-grade personal protective equipment for frontline healthcare workers is an important issue during the ongoing COVID-19 pandemic. The demand placed on textile manufacturers to rapidly produce products that adhere to a set of standard quality assurance requirements has increased dramatically, leading to increased burden on quality assurance floors and national testing labs. Standardized testing of protective equipment is a labor-intensive and time-consuming process that requires human operators to perform tasks that can be automated using various technologies, such as collaborative robots and computer vision systems. The tests we focus on involve evaluating surgical masks and protective materials for blood penetration resistance, flammability, and liquid barrier performance. This work introduces a test cell designed to accommodate human operators in completing various quality assurance tests for protective equipment. The test cell is comprised of custom-designed cases containing test specimens to facilitate robot manipulation and cameras to monitor and characterize the test results. We demonstrate how the system can reduce the workload and reliance on human operators at no expense to the quality assurance process. Based on validation test results and user experience, it is predicted that the human operator will only have to prepare cases with test specimens and handle infrequent failures that occur within the system, without compromising overall completion time. We envision that this system will relieve the strain on textile manufacturing processes requiring human labor to repeatedly perform simple tasks. © 2022 IEEE.",,"2022 IEEE International Symposium on Technologies for Homeland Security, HST 2022",2022,,10.1109/HST56032.2022.10025429,SCO
179,Exploring the effects of task sharing on medical staff mental workload using simulation,Maxheimer E.W.; Rusnock C.F.; Valencia V.V.; Oyama K.F.,"Many process improvement initiatives have been performed in response to increasing demands on the United States healthcare system. Some of these initiatives have included Lean manufacturing principles. An important Lean principle is heijunka, which is the balancing of workload. Balanced workload levels are important for human performance and efficiency because they prevent workers from being under or overworked, which aids in increasing motivation, reducing fatigue, and avoiding errors. This study uses simulations to evaluate how task sharing influences the balance of medical staff mental workload in an in-patient unit. The simulation indicates that task sharing in the modeled unit will improve the balance of idle time and time-weighted average workload; however, in this scenario task sharing makes overload time more unbalanced. © 2018 Institute of Industrial Engineers (IIE). All rights reserved.",,IISE Annual Conference and Expo 2018,2018,,,SCO
180,Postural Analysis among Machinists Experiencing Work-related Musculoskeletal Disorders in the Philippines,Necio A.J.F.; Batac N.E.C.; Odias T.M.P.; Ricafort J.L.B.; Salazar R.R.; Kurata Y.B.,"Work-related musculoskeletal disorders (WMSDs) in the Philippines has become an ordeal in the manufacturing industry. WMSDs are injuries in both muscle and skeletal systems of the body caused by repetitive tasks, prolonged and strenuous range of actions done by most people. Workers experiencing various WMSDs are associated with increased absenteeism, less productivity, and physical and psychological stress. The study aims to identify and analyze statistically significant variables contributing to work-related musculoskeletal disorders, particularly postural related considerations in the lower back, experienced by machinists in a steel manufacturing company. Through correlation and multiple regression analysis, results showed that Height (p-value = 0.001), Weight (p-value = 0.001), Noise (p-value = 0.000), Temperature (p-value = 0.002), Load Weight (p-value = 0.014), BMI (p-value = 0.047), Sleep Quality (p-value = 0.044) and Workload (p-value = 0.007) contributes to the WMSDs experienced by the machinists. Recommendations such as medical examinations, worker's education in the use of PPEs, suitable ventilations, adequate working space, and worker's physical fitness is expected to minimize the risk of WMSDs among workers. © 2019 IEEE.",,IEEE International Conference on Industrial Engineering and Engineering Management,2019,21573611,10.1109/IEEM44572.2019.8978765,SCO
181,Designing a virtual cellular manufacturing system with route selection and workers’ considerations: A multi-objective robust possibilistic model,Farboodi S.; Paydar M.M.; Nemati A.,"In today's economy, the necessity for responsiveness to variations in customers’ permanent requirements is increasing significantly. Achieving immediate response or success in the competitive market requires boosting flexibility, agility, and efficiency in utilizing available production equipment and workforce. Implementing a Virtual Cellular Manufacturing System (VCSM) prevents the reconfiguration costs and is suitable for many systems where the machines are not removable. Owing to the significant role of human resources in VCMS, this paper assigns the workers based on their skills, interest in cooperation, and workload balancing among cells. The considerable novelty is balancing physical and time workloads simultaneously. Another strength of this research is the consideration of various routes to process each part. A comprehensive linear multi-objective mathematical model is developed for a virtual cellular manufacturing system. This paper develops the model by stating social and technical dimensions, which minimize exceptional elements and voids, maximize the workers' interest in cooperation, and minimize workload deviation. Stemming from uncertain parameters, a robust possibilistic approach is addressed. Due to the multi-objective model, the multi-choice meta-goal programming with the utility function is applied. Afterward, a real-case study is presented to validate the model. Eventually, the outcomes and sensitivity analysis are brought up. © 2023 Elsevier Ltd",238,Expert Systems with Applications,2024,09574174,10.1016/j.eswa.2023.122263,SCO
182,An optimization methodology for multi model walking-worker assembly systems: An application from busbar energy distribution systems,Cevikcan E.,"Purpose-Walking-worker assembly lines can be regarded as an effective method to achieve the above-mentioned characteristics. In such systems, workers, following each other, travel workstations in sequence by performing all of the required tasks of their own product. As the eventual stage of assembly line design, efforts should be made for capacity adjustments to meet the demand in terms of allocating tasks to workers via assembly line balancing. In this context, the purpose of this study is to address the balancing problem for multi-model walking-worker assembly systems, with the aim of improving planning capability for such systems by means of developing an optimization methodology. Design/methodology/approach-Two linear integer programming models are proposed to balance a multi-model walking-worker assembly line optimally in a sequential manner. The first mathematical programming model attempts to determine number of workers in each segment (i.e. rabbit chase loop) for each model. The second model generates stations in each segment to smooth workflow. What is more, heuristic algorithms are provided due to computational burden of mathematical programming models. Two segment generation heuristic algorithms and a station generation heuristic algorithm are provided for the addressed problem. Findings-The application of the mathematical programming approach improved the performance of a tap-off box assembly line in terms of number of workers (9.1 per cent) and non-value-added time ratio (between 27.9 and 26.1 per cent for different models) when compared to a classical assembly system design. In addition, the proposed approach (i.e. segmented walking-worker assembly line) provided a more convenient working environment (28.1 and 40.8 per cent shorter walking distance for different models) in contrast with the overall walking-worker assembly line. Meanwhile, segment generation heuristics yielded reduction in labour requirement for a considerable number (43.7 and 49.1 per cent) of test problems. Finally, gaps between the objective values and the lower bounds have been observed as 8.3 per cent (Segment Generation Heuristic 1) and 6.1 (Segment Generation Heuristic 2). Practical implications-The proposed study presents a decision support for walking-worker line balancing with high level of solution quality and computational performance for even large-sized assembly systems. That being the case, it contributes to the management of real-life assembly systems in terms of labour planning and ergonomics. Owing to the fact that the methodology has the potential of reducing labour requirement, it will present the opportunity of utilizing freed-up capacity for new lines in the start-up period or other bottleneck processes. In addition, this study offers a working environment where skill of the workers can be improved within reasonable walking distances. Originality/value-To the best knowledge of the author, workload balancing on multi-model walking-worker assembly lines with rabbit chase loop(s) has not yet been handled. Addressing this research gap, this paper presents a methodology including mathematical programming models and heuristic algorithms to solve the multi-model walking-worker assembly line balancing problem for the first time. © 2016 Emerald Group Publishing Limited.",36,Assembly Automation,2016,01445154,10.1108/AA-09-2015-072,SCO
183,Human-robot teaming in construction: Evaluative safety training through the integration of immersive technologies and wearable physiological sensing,Shayesteh S.; Ojha A.; Liu Y.; Jebelli H.,"Occupational safety has become a major issue in the construction industry over the years. Studies have shown that work-related accidents are mostly caused by the unsafe behaviors of construction workers, implying that they can be avoided with the appropriate safety training. With emerging technologies being increasingly implemented in the construction industry, there is a growing need to improve pedagogical techniques to equip workers with the multidisciplinary skills required to safely accomplish construction tasks. Construction robots are fine examples of such technologies that necessitate more effective training, as their adoption in the field is closely tied to workers’ safety. However, there is a lack of robust safety training methods for working with robots that can ensure the effectiveness of the training process. To address this issue, this study proposes a virtual avatar-based training platform for collaborating with construction robots. The proposed training platform uses workers' physiological signals to evaluate the training process throughout a human-robot collaboration (HRC) task. Using a deep neural network architecture, workers' cognitive load, a crucial factor of effective learning, was identified and linked to safety performance during the HRC task. The study results highlighted the effectiveness of the proposed training platform and its capability to evaluate the cognitive load during the HRC training in construction. © 2022 Elsevier Ltd",159,Safety Science,2023,09257535,10.1016/j.ssci.2022.106019,SCO
184,Automated Task Scheduling for Automotive Industry,Lewandowski R.; Olszewska J.I.,"Nowadays, the automotive industry requires an increased use of intelligent systems to endure. In this paper, we present a new solution for automated task scheduling to help automotive industry in efficiently managing garage employees' time and improving the effectiveness of the servicing and maintenance tasks of vehicles. The developed approach consists in a set of interconnected web applications with a model-view-controller based-on architecture and expert-knowledge temporal logic rules to automate the assignment of the daily workload for engineers working on multiple workstations within an automotive company. The proposed intelligent system prioritises and selects tasks for these engineers; the scheduled tasks being automatically ordered and displayed accordingly on screens visible in the related garage workstations. This automated task scheduling system has been successfully deployed within Arnold Clark Automobiles Ltd Company, and the performance of this new application used by a group of engineers under real-world operational conditions have been assessed and analysed.  © 2020 IEEE.",,"INES 2020 - IEEE 24th International Conference on Intelligent Engineering Systems, Proceedings",2020,,10.1109/INES49302.2020.9147169,SCO
185,Workload analysis using the workload analysis method as consideration for providing worker incentives,Sulaiman A.; Zakaria M.; Zeki M.; Muzakir,"Abstrak-UD. Hidup Baru is an Agro-industry business which is engaged in coconut oil production, located in the village of Paya Rangkuluh, Kec. Kuta Blang, Kab. Bireuen The problem that concerns this company is the imbalance of workload on the part of production. Review this research to analyze the workload of workers. Workload Analysis Method is used to determine the workload of each worker. The work sampling method is used to get a percentage of productive time. Sampling of Work Results that showed the highest productivity was at worker 7 at the pressing station that was 94% and the lowest productivity at worker 5 at the pressing station that was at 88%. The Workload Analysis results show that each production worker has a workload of more than 100%. The highest workload on workers 7 in the pressing section is 126.98%. The proposal given related to high workload is to provide incentives to workers who depend on the workload of each worker. © 2020, Institute of Advanced Scientific Research, Inc.. All rights reserved.",12,Journal of Advanced Research in Dynamical and Control Systems,2020,1943023X,10.5373/JARDCS/V12I2/S20201224,SCO
186,Towards Human Digital Twins to enhance workers' safety and production system resilience,Berti N.; Finco S.; Guidolin M.; Battini D.,"Industry 5.0 complements Industry 4.0 aiming to create a sustainable, human-centered, and resilient industry. In this context, enabling technologies, such as artificial intelligence, internet of everything, and digital twins, can be used to monitor and enhance the workforce to improve the efficiency and resilience of the entire manufacturing system. By developing socio-technical digital twin architectures, companies will be able in the short future to monitor machines, products, and workers' real-time states as a whole ecosystem. In this study, the authors focus their attention on human digital twin solutions for manufacturing systems, enabling dynamic scheduling of jobs by minimizing the makespan and considering a set of workers' parameters that are continuously monitored through an ergonomic digital platform. This paper proposes the architecture of a real-time monitoring system and how it can help detect awkward postural behavior or unbalanced workload among workers, according to their individual features. At the same time, the system interacts with the human digital twin system which proposes a rescheduling of the jobs whenever it is necessary. Finally, a discussion on the practical limitations of human digital twin implementations in industrial environments is provided. Copyright © 2023 The Authors. This is an open access article under the CC BY-NC-ND license (https://creativecommons.org/licenses/by-nc-nd/4.0/)",56,IFAC-PapersOnLine,2023,24058963,10.1016/j.ifacol.2023.10.809,SCO
187,Scheduling for Assembly Line with Human-Robot Collaboration,Inoue K.; Aoyama H.,"In the scheduling of assembly lines with human-robot collaboration, variations in workload caused by differences in the available working hours of workers and robots must be minimized. A scheduling method that considers buffers shared by automated guided vehicles and cooperative assembly by multiple workers is proposed herein. In particular, cooperative work requires an assembly schedule that minimizes the make span and satisfies the delivery date, while accounting for the possibility of work partitioning, the number of workers, as well as their available time slots and skills. Hence, it is difficult to obtain an exact optimal solution within a reasonable computation time using existing methods such as mathematical programming. Heuristic or metaheuristic approaches are effective for solving this problem. However, these approaches are not suitable for cooperative assembly by multiple workers. Therefore, a genetic algorithm supported by dispatching rules with four genes is proposed. Computational experiments are conducted based on multiple worker skills. The results showed that when the worker skills are the same, the genetic representation of the job name and part processing order is effective, whereas when the worker skills are different, the genetic representation of the cooperative process with the worker for each operation is effective. © 2023 Korean Society for Precision Engineeing. All rights reserved.",40,Journal of the Korean Society for Precision Engineering,2023,12259071,10.7736/JKSPE.022.100,SCO
188,Shift scheduling model considering workload and worker's preference for security department,Herawati A.; Yuniartha D.R.; Purnama I.L.I.; Dewi L.T.,Security department operates for 24 hours and applies shift scheduling to organize its workers as well as in hotel industry. This research has been conducted to develop shift scheduling model considering the workers physical workload using rating of perceived exertion (RPE) Borg's Scale and workers' preference to accommodate schedule flexibility. The mathematic model is developed in integer linear programming and results optimal solution for simple problem. Resulting shift schedule of the developed model has equally distribution shift allocation among workers to balance the physical workload and give flexibility for workers in working hours arrangement. © Published under licence by IOP Publishing Ltd.,337,IOP Conference Series: Materials Science and Engineering,2018,17578981,10.1088/1757-899X/337/1/012011,SCO
189,THE NASA-TLX APPROACH TO UNDERSTAND WORKERS WORKLOAD IN HUMAN-ROBOT COLLABORATION,Javernik A.; Buchmeister B.; Ojstersek R.,"Human-robot collaboration (HRC) is becoming increasingly widespread in today's production systems, as it can contribute to achieving more efficient and flexible production systems. Given the growing importance of HRC, this paper addresses the significance of human workload in HRC. To study workers workload an experiment was conducted using NASA-TLX questionnaire. The experiment featured two scenarios involving the same operation but varying robot motion parameters. Recognizing that individual differences contribute to success of collaboration, the experiment considered worker utilization in relation to robot motion parameters. To ensure the credibility of the experimental results, the robot motion parameters were adjusted to each individual in order to achieve the same conditions and utilization at all participants. Results revealed that worker utilization, in conjunction with robot motion parameters significantly influenced worker workload. The results highlight the need for personalized guidelines in collaborative workplaces that emphasize individual differences in abilities, skills and personalities to increase overall well-being and robot and worker productivity. (Received in May 2023, accepted in September 2023. This paper was with the authors 2 months for 2 revisions.). © 2023, DAAAM International Vienna. All rights reserved.",22,International Journal of Simulation Modelling,2023,17264529,10.2507/IJSIMM22-4-658,SCO
