,Title,Abstract,Authors,Keywords,DOI,ISSN,Publication Year
41,A novel optimization approach for segmented rabbit chase oriented U-type assembly line design: an application from lighting industry,"Purpose Rabbit chase (RC) is used as one of the most effective techniques in manufacturing systems, as such systems have high level of adaptability and increased productivity in addition to providing uniform workload balancing and skill improving environment. In assembly systems, RC inspires the development of walking worker assembly line (WWAL). On the other hand, U-type assembly lines (UALs) may provide higher worker utilization, lower space requirement and more convenient internal logistics when compared to straight assembly lines. In this context, this study aims to improve assembly line performance by generating RC cycles on WWAL with respect to task assignment characteristics of UAL within reasonable walking distance and space requirement. Therefore, a novel line configuration, namely, segmented rabbit chase-oriented U-type assembly line (SRCUAL), emerges. Design/methodology/approach The mathematical programming approach treats SRCUAL balancing problem in a hierarchical manner to decrease computational burden. Firstly, segments are generated via the first linear programming model in the solution approach for balancing SRCUALs to minimize total number of workers. Then, stations are determined within each segment for forward and backward sections separately using two different pre-emptive goal programming models. Moreover, three heuristics are developed to provide solution quality with computational efficiency. Findings The proposed mathematical programming approach is applied to the light-emitting diode (LED) luminaire assembly section of a manufacturing company. The adaptation of SRCUAL decreased the number of workers by 15.4% and the space requirement by 17.7% for LED luminaire assembly system when compared to UAL. Moreover, satisfactory results for the proposed heuristics were obtained in terms of deviation from lower bound, especially for SRCUAL heuristics I and II. Moreover, the results indicate that the integration of RC not only decreased the number of workers in 40.28% (29 instances) of test problems in U-lines, but also yielded less number of buffer points (48.48%) with lower workload deviation (75%) among workers in terms of coefficient of variation. Practical implications This study provides convenience for capacity management (assessing capacity and adjusting capacity by changing the number of workers) for industrial SRCUAL applications. Meanwhile, SRCUAL applications give the opportunity to increase the capacity for a product or transfer the saved capacity to the assembly of other products. As it is possible to provide one-piece flow with equal workloads via walking workers, SRCUAL has the potential for quick realization of defects and better lead time performance. Originality/value To the best of the authors' knowledge, forward-backward task assignments in U-type lines have not been adapted to WWALs. Moreover, as workers travel overall the line in WWALs, walking time increases drastically. Addressing this research gap and limitation, the main innovative aspect of this study can be considered as the proposal of a new line design (i.e. SRCUAL) which is sourced from the hybridization of UALs and WWAL as well as the segmentation of the line with RC cycles. The superiority of SRCUAL over WWAL and UAL was also discussed. Moreover, operating systematic for SRCUAL was devised. As for methodical aspect, this study is the first attempt to solve the balancing problem for SRCUAL design.","Cevikcan, E; Durmusoglu, MB",Heuristic; Optimization; Assembly line balancing; Rabbit chase; U-type lines; SIMULATED ANNEALING ALGORITHM; PARTICLE SWARM OPTIMIZATION; ANT COLONY OPTIMIZATION; WORKER ASSIGNMENT; BALANCING PROBLEM; HEURISTIC APPROACH; PROGRAMMING APPROACH; MATHEMATICAL-MODEL; OPERATIONAL DESIGN; SEARCH ALGORITHM,10.1108/AA-02-2019-0020,0144-5154,2020
42,Work Tempo Instruction Framework for Balancing Human Workload and Productivity in Repetitive Task,"This paper proposes a feedback framework that adjusts human workload and productivity by instructing work tempo and personalizes work according to individual diferences. For feedback of optimal work tempo, this study proposes a human worker state transition model to investigate the efects of work tempo instructions on workload and productivity. Based on the results obtained, we proposed a feedback policy using our proposed worker state transition model. By testing our proposed framework in a picking task, we showed the possibility to balance productivity and workload.","Shirakura, N; Yamanobe, N; Maruyama, T; Domae, Y; Ogata, T",HCI; Human-centered system; Manufacturing; Workload,10.1145/3610978.3640756,,2024
43,Effect of Changes in the Sequence of Assembly Operations on Error Rates: A Case Study From the Car Manufacturing Industry,"Human operator-induced assembly errors affect the quality of car manufacturing. Understanding the factors influencing assembly errors is critical for quality improvement. The sequence of assembly operations, a factor markedly affecting cognitive load, remains largely understudied. We aimed to assess the effect of changing the sequence of assembly operations on error rates through four field experiments conducted in a car manufacturing plant. The parts (and errors) under study were child lock labels (missing labels), sunroofs (missing bolts), windshield wiper arms (loose bolts), and armrests (wrong selection). Parts were chosen based on data from quality records, and they represent different scenarios regarding the sequencing of assembly operations. Minitab was used to conduct the statistical test for two proportions at a significance level of 0.05. The experiments ran for a period varying from 9 to 25 weeks (22292 to 138456 cars). All four experiments exhibited significant differences in the proportion of errors. MODAPTS cycle-time calculations revealed no negative effect of assembly sequence variations on productivity. The study findings show that changing the assembly operation sequence can reduce the error rates, possibly due to the intermediary effect in reducing the operator's cognitive load. Overall, realizing quality improvement requires optimizing the assembly operation sequence in terms of time and productivity while considering its possible impact on error rates.","Real, C; Torres, Y",Manufacturing; Error analysis; Task analysis; Production; Manuals; Workstations; Assembly systems; Human factors; Load flow; Quality control; Automotive engineering; human factors; cognitive load; quality control; automobile manufacture; HUMAN-PERFORMANCE; QUALITY; ERGONOMICS; INSTRUCTIONS; ATTENTION; DESIGN; IMPACT; MODEL; WORK,10.1109/ACCESS.2024.3371980,2169-3536,2024
44,Workforce scheduling considering physical and mental workload: A case study of domestic freight forwarding,"Manufacturing industry depend heavily on logistic service provider to distribute their product. Logistic company ussualy work based on order from manufacturer. Depending on the circumtances, orders received by logistic service provider in most cases are uncertain. Fluctuations or uncertainty of order becomes a problem to many logistic companies because it affects the way they have to schedule their workers. Workforce scheduling is hence necessary for allocating appropriate worker in the right place and in the right time. Inappropriate workforce scheduling could imbalance workloads within workers which leads to worker dissatisfaction. This study therefore aims to design a workforce scheduling that consider worker workload of Domestics Freight Forwarding particularly in Company X. The research will first measure the workload, both physical and mental workload. The method used for physical workload measurement is based on calorie consumptions based on Indonesia National Standard (SNI). Whereas NASA-TLX subjective approach method is used to measure mental workload. Then, by using the result of the workload measurements, a workforce scheduling model is designed to balance the workload. Goal programing is used to model the workforce scheduling. The result of workload measurement shows that workers have low productivity but high level of mental workload, while for the physical workload there is no significant difference in each warehouse and shipping. In order to increase the utility of the workers, instead of 3 shifts it is suggested that company apply 2 shifts work systems for Checker. Also, minimizing factors that reduce the productivity such the mobility of outstation (dinas luar). (C) 2015 Published by Elsevier B.V.","Dewi, DS; Septiana, T",Physical workload; mental Workload; NASA_TLX; workforce scheduling; domestic freight forwarding,10.1016/j.promfg.2015.11.061,2351-9789,2015
45,MODELLING AND A HYBRID GENETIC ALGORITHM FOR THE EQUITY-ORIENTED WORKER ASSIGNMENT PROBLEM IN SERU PRODUCTION SYSTEMS,". Worker assignment is critical for developing a flexible and humancentered seru production system (SPS). Most studies in the literature focus on worker assignment with the objective of maximizing system efficiency, which causes an inescapable consequence that workers with high proficiency levels experience overwork compared with workers with lower proficiency levels. From the perspective of workload equity, we investigate the worker assignment problem in SPS, where the heterogeneity of workers with diverse skill sets and skill proficiency levels is taken into account. A mixed integer nonlinear programming model named the equity-oriented model is proposed for this problem to mitigate the workload inequity among workers by minimizing the maximum workload of workers. The equity-oriented model is linearized and solved by the CPLEX solver for small-scale instances. For efficiently solving large-scale instances, we design a hybrid genetic algorithm combined with local search. Computational experiments demonstrate the high performance of the hybrid genetic algorithm, both in terms of computing time and solution quality. We find that using the equity-oriented model can significantly balance the workload among workers at the cost of minimal increases in the total labor hours.","Wu, YH; Zeng, SY; Yu, Y",Key words and phrases; seru Production system; worker assignment; mixed integer nonlinear programming; hybrid genetic algorithm; LINE-CELL CONVERSION; CONVEYOR ASSEMBLY-LINE; OPTIMIZATION MODEL; BALANCING PROBLEM; COST,10.3934/jimo.2023068,1547-5816,2024
46,A distributed flexible job shop scheduling problem considering worker arrangement using an improved memetic algorithm,"The classical distributed flexible job shop scheduling problem (DFJSP) mainly considers factory allocation, machine arrangement, job sequencing and transportation. To date, the relevant literature has not studied the DFJSPs with worker arrangement, which widely exists in practical manufacturing systems. In this paper, we investigate the DFJSP with worker arrangement (DFJSPW), where not only the factories, machines and operations, but the workers are considered simultaneously. A mixed-integer linear programming model is formulated for this problem. Correspondingly, an improved memetic algorithm (IMA) based on the structure of NSGA-II is proposed for the proposed DFJSPW whose objective is to minimize the makespan, maximum workload of machines and workload of workers simultaneously. In IMA, a simplified two-level encoding and four heuristic decoding methods are designed to encode and decode the individuals. A well-designed adaptive neighborhood search operator is developed to enhance the local search ability of IMA and speed its convergence. Fifty-eight benchmarks are constructed to evaluate the performance of our proposed IMA. Extensive experiments show that in most examples, IMA performs better than four well-known multi-objective algorithms, demonstrating the superiority of IMA in solving the DFJSPW.","Luo, Q; Deng, QW; Gong, GL; Guo, X; Liu, XH",Distributedflexiblejobshopscheduling; Workerarrangement; Memeticalgorithm; Adaptiveneighborhoodsearch; GENETIC ALGORITHM; FLEXIBILITY; OPTIMIZATION,10.1016/j.eswa.2022.117984,0957-4174,2022
47,Balancing assembly lines with industrial and collaborative robots: Current trends and future research directions,"Assembly-line balancing is a significant issue in production systems. Employing industrial robots as the main production resource was a milestone in developing assembly lines, and emerging Industry 4.0 led industries to build collaborative assembly lines by combining robots and human operator skills. Recently, the majority of research on assembly line balancing has contributed to addressing aspects of utilizing robots in assembly lines and how they can increase line performance. Various models and methods are developed, considering different objectives and performance indicators. Despite the increasing number of studies in this area, a thorough literature review is lacking in identifying gaps, shedding light on research directions, and facilitating future development. This study systematically reviews assembly-line balancing studies targeted at assembly lines with industrial and collaborative robots. Studies are classified based on their objectives and reviewed for their solution method, line layout, and other essential specifications. A descriptive analysis is provided to assist researchers and practitioners in linking different properties of assembly lines to the objectives and applied methodologies. The results show that most studies developed models and solution methods that focused on simultaneously optimizing more than one objective. The review reveals that minimizing the cycle time is the most popular objective, and meta-heuristic algorithms are the dominant solution approaches. It is also observed that balancing assembly lines with collaborative robots has received more attention in the last five years with the emergence of Industry 4.0. The review also highlights gaps in the related literature and provides promising insights for future research.","Fathi, M; Sepehri, A; Ghobakhloo, M; Iranmanesh, M; Tseng, ML",Assembly line balancing; Human -robot collaboration; Systematic literature review; Industrial robot; Collaborative robot; MATHEMATICAL-MODEL; ENERGY-CONSUMPTION; GENETIC ALGORITHM; CYCLE TIME; OPTIMIZATION; HEURISTICS; CARBON; METAHEURISTICS; WORKLOAD; SOLVE,10.1016/j.cie.2024.110254,0360-8352,2024
48,Evaluation of Fatigue and Workload among Workers Conducting Complex Manual Assembly in Manufacturing,"OCCUPATIONAL APPLICATIONS We conducted a study to evaluate fatigue and workload among workers performing complex assembly tasks. We investigate several predictors of fatigue, including subjective workload estimates, sleep duration, the shift being worked, and production levels. High levels of fatigue were reported in one-third of the shifts evaluated. The main predictors of high fatigue were workload estimates, working evening shifts, and baseline fatigue. Among the six dimensions of workload, only mental demand and frustration were predictors of high fatigue. Mental demand was also rated highest. Participants reported less than seven hours of sleep in 60% of the nights evaluated. These results suggest that managers and supervisors should consider cognitive workload as a key contributing factor to fatigue in complex manual assembly. Similarly, work schedule planning should consider shift duration, start times, and end times, because of the negative influence on fatigue and the potential disruptions on sleep among workers. TECHNICAL ABSTRACT Background: General fatigue and mental workload have been studied extensively in safety-critical contexts; wherein human performance degradation can lead to catastrophic outcomes. In the manufacturing sector, the physical demands of a job have received most of the attention because of the presence of biomechanical loads and the incidence of musculoskeletal disorders. However, in complex manual assembly, cognitive and chronobiology aspects of work can contribute to fatigue and degrade worker performance. Purpose: We aimed to evaluate self-reported levels of fatigue and workload among a group of workers performing complex assembly tasks. We also sought to investigate several predictors of fatigue, including workload estimates, sleep duration, the shift being worked, and production levels. Methods: Fourteen assembly line workers participated in a two-week study. They evaluated their levels of fatigue at the beginning and end of each shift using the Samn-Perelli Fatigue Scale. They also evaluated their workload according to the NASA-TLX scale at the end of each shift. Results: High levels of fatigue (fatigue score >= 5) were reported in approximately one-third of 114 work shifts evaluated. Binary logistic regression indicated that fatigue scores at the beginning of the shift, NASA-TLX scores, and working evening shifts were significant predictors of high levels of fatigue. Among the six dimensions measured by NASA-TLX, only mental demand and frustration were predictors of high fatigue. Mental demand was also rated highest by the workers. Participants reported less than seven hours of sleep in 60% of the nights evaluated. Conclusions: These results suggest that cognitive load can contribute to fatigue in complex manual assembly work. Circadian and homeostatic processes related to shift duration, start times, and end times are also potential contributing factors. Similarly, existing work schedules may be contributing to sleep disruptions among workers.","Torres, Y; Nadeau, S; Landau, K",Production demand; shift work; sleep; mental demand; subjective metrics; NASA-TLX; HUMAN-PERFORMANCE; MENTAL WORKLOAD; SLEEP; QUALITY; ERGONOMICS; TASK; INSTRUCTIONS; PRINCIPLES; HEALTH,10.1080/24725838.2021.1997835,2472-5838,2021
49,Bee algorithms for parallel two-sided assembly line balancing problem with walking times,"Production lines, designed in a serial manner, have attracted the attention of researchers for many years. Line efficiency, throughput time and workload balancing are the main concerns regarding assembly lines, due to the high volume production. Recently, specific assembly line configurations, such as two-sided and parallel lines, have been addressed by researchers within the operational levels of production. Parallel two-sided assembly lines, rather a new research area, allocate more flexible workers and reduce throughput time by incorporating the advantages of two-sided and parallel assembly lines. Since parallel two-sided assembly lines are utilized to produce large-scale products, such as automobiles, trucks, and buses in industry; they also require a significant worker movement between parallel lines because of the unavoidable walking distances between lines. In this respect, different from the existing literature, walking distances have been included in parallel two-sided assembly line balancing problem. The main purpose of this paper is to introduce parallel two-sided assembly line balancing problem with walking times and to propose the implementation of Bees Algorithm and Artificial Bee Colony algorithm due to the NP-hardness of the problem. An extensive computational study is also carried out and the comparative results are presented. (C) 2015 Elsevier B.V. All rights reserved.","Tapkan, P; Özbakir, L; Baykasoglu, A",Parallel two-sided assembly line balancing problem; Walking times; Bees algorithm; Artificial bee colony algorithm; Mathematical programming model; TABU SEARCH ALGORITHM; GENETIC ALGORITHM; COLONY ALGORITHM; MODEL; OPTIMIZATION,10.1016/j.asoc.2015.11.017,1568-4946,2016
50,Assembly line balancing with resource constraints using new rank-based crossovers,"Assembly line balancing (ALB) is about distributing the assembly tasks into workstations with the almost equal workload. Recently, researchers started to consider the resource constraints in ALB such as machine and worker, to make the assembly layout more efficient. This paper presents an ALB with resource constraints (ALB-RC) to minimize the workstation, machine and worker. For the optimization purpose, genetic algorithm (GA) with two new crossovers is introduced. The crossovers are developed using ranking approach and known as rank-based crossover type I and type II (RBC-I and RBC-II). These crossovers are tested against popular combinatorial crossovers using 17 benchmark problems. The computational experiment results indicated that the RBC-II has better overall performance because of the balance between divergence and guidance in the reproduction process. In future, the RBC-I and RBC-II will be tested for different variant of ALB problems.","Kamarudin, NH; Rashid, MFFA",GENETIC ALGORITHM,10.1088/1742-6596/908/1/012059,1742-6588,2017
51,Smart Operators: How Augmented and Virtual Technologies Are Affecting the Worker's Performance in Manufacturing Contexts,"Purpose: The correct interaction between the workforce and augmented, virtual, and mixed reality technologies represents a crucial aspect of the success of the smart factory. This interaction is, indeed, affected by the variability of human behavior and its reliability, which can strongly influence the quality, safety, and productivity standards. For this reason, this paper aims to provide a clear and complete analysis of the impacts of these technologies on the performance of operators. Design/methodology/approach: A Systematic Literature Review (SLR) was conducted to identify peer-reviewed papers that focused on the implementation of augmented and virtual technologies in manufacturing systems and their effects on human performance. Findings: In total, 61 papers were selected and thoroughly analyzed. The findings of this study reveal that Augmented, Virtual and Mixed Reality can be applied for several applications in manufacturing systems with different types of devices, that involve various advantages and disadvantages. The workers performance that are influencing by the use of these technologies are above all time to complete a task, error rate and mental and physical workload. Originality/value: Over the years Augmented, Virtual and Mixed Reality technologies in manufacturing systems have been investigated by researchers. Several studies mostly focused on technological issues, have been conducted. The role of the operator, whose tasks may be influenced positively or negatively by the use of new devices, has been hardly ever analyzed and a deep analysis of human performance affected by these technologies is missing. This study represents a preliminary analysis to fill this gap. The results obtained from the SLR allowed us to develop a conceptual framework that investigates the current state-of-the-art knowledge about the topic and highlights gaps in the current research.","Di Pasquale, V; De Simone, V; Miranda, S; Riemma, S",augmented reality; virtual reality; mixed reality; human performance; operator 4.0; smart factory; industry 4.0; REALITY APPLICATIONS; ASSISTANCE; INDUSTRY; SYSTEMS; USER,10.3926/jiem.3607,2013-8423,2022
52,Participatory ergonomics intervention for improving human and production outcomes of a Brazilian furniture company,"This article presents a participatory intervention in a furniture manufacturing company in Southern Brazil aiming to improve both ergonomic and production outcomes. The existing Tayloristic model was replaced by a cellular teamwork model. Work enlargement and enrichment, and the improvements in workstation design and process flow increased worker satisfaction and reduced postural risk, fatigue, body pain and production waste. Workload was reduced by 42% and productivity increased by 46% (25% being attributable to unnecessary load handling, waiting and transportation, and 21% attributable directly to manufacturing times). Workers' participation in the stages of problems identification, design and evaluation of solutions played a major role in these outcomes. Relevance to industry: This study indicates that it is possible to balance ergonomics and production demands, and that it is necessary to make it clear to management. The integration of macroergonomics and production management principles increases both worker well-being and productivity levels, thus leading to a more sustainable system. (C) 2015 Elsevier B.V. All rights reserved.","Guimaraes, LBD; Anzanello, MJ; Ribeiro, JLD; Saurin, TA",Participatory ergonomics; Furniture manufacturer; Functional work design; Cellular work design; WOOD-DUST EXPOSURE; DANISH WOOD; MANUFACTURING-INDUSTRY; MUSCULOSKELETAL; IMPLEMENTATION; DESIGN,10.1016/j.ergon.2015.02.002,0169-8141,2015
53,Optimization of two-sided assembly line balancing with resource constraints using modified particle swarm optimisation,"Two-Sided Assembly Line Balancing (2S-ALB) is essential to the production of large-sized high-volume products, including automotive production, at assembly plants. The 2S-ALB problem involves different assembly resources such as worker skills, tools, and machines required for the assembly. This research modeled and optimized the 2S-ALB with resource constraints. In the end, besides favorable workload balance, the number of resources can be optimized. For optimization purpose, particle swarm optimization was modified to reduce dependence on a single best solution. This was conducted by replacing the best solution with the top three solutions in the reproduction process. Computational experiment results using 12 benchmark test problems indicated that the 2S-ALB with a resource-constrained model was able to reduce the number of resources for use in an assembly line. Furthermore, the proposed Modified Particle Swarm Optimization (MPSO) was capable of searching for minimum solutions to 11 out of 12 test problems. The good performance of MPSO was attributed to its ability to maintain particle diversity over iterations. The proposed 2S-ALB model and MPSO algorithm were validated later using an industrial case study. This research makes a two-fold contribution: (a) Proposition of a novel 2S-ALB with resource-constrained model and (b) a modified PSO algorithm with enhanced performance. (C) 2022 Sharif University of Technology. All rights reserved.","Make, MRA; Ab Rashid, MFF",Manufacturing systems; Assembly line balancing; Two-sided line; Resource constraints; Particle swarm optimization; GENETIC ALGORITHM,10.24200/sci.2020.52610.2797,1026-3098,2022
54,Combining Simulation and Augmented Reality Methods for Enhanced Worker Assistance in Manual Assembly,"Due to mass customization product variety increased steeply in the automotive industry, entailing the increment of worker's cognitive load during manual assembly tasks. Although worker assistance methods for cognitive automation already exist, they proof insufficient in terms of usability and achieved time saving. Given the rising importance of simulation towards autonomous production planning, a novel approach is proposed using human simulation data in context of worker assistance methods to alleviate cognitive load during manual assembly tasks. Within this paper, a new concept for augmented reality-based worker assistance is presented. Additionally, a comparative user study (N=24) was conducted with conventional worker assistance methods to evaluate a prototypical implementation of the concept. The results illustrate the enhancing opportunity of the novel approach to save cognitive abilities and to induce performance improvements. The implementation provided stable information presentation during the entire experiment. However, with regard to the recentness, there has to be carried out further developments and research, concerning performance adaptions and investigations of the effectiveness. (C) 2019 The Authors. Published by Elsevier Ltd.","Lampen, E; Teuber, J; Gaisbauer, F; Bär, T; Pfeiffer, T; Wachsmuth, S",augmented reality; assistance methods; assembly; human simulation; dynamic instructions; INSTRUCTIONS; INFORMATION; COMPLEXITY,10.1016/j.procir.2019.03.160,2212-8271,2019
55,A model for developing job rotation schedules that eliminate sequential high workloads and minimize between-worker variability in cumulative daily workloads: Application to automotive assembly lines,"The aim of study is to suggest a job rotation schedule by developing a mathematical model in order to reduce cumulative workload from the successive use of the same body region. Workload assessment using rapid entire body assessment (REBA) was performed for the model in three automotive assembly lines of chassis, trim, and finishing to identify which body part exposed to relatively high workloads at workstations. The workloads were incorporated to the model to develop a job rotation schedule. The proposed schedules prevent the exposure to high workloads successively on the same body region and minimized between-worker variance in cumulative daily workload. Whereas some of workers were successively assigned to high workload workstation under no job rotation and serial job rotation. This model would help to reduce the potential for work-related musculoskeletal disorders (WMSDs) without additional cost for engineering work, although it may need more computational time and relative complex job rotation sequences. (C) 2016 Elsevier Ltd and The Ergonomics Society. All rights reserved.","Yoon, SY; Ko, J; Jung, MC",Job rotation; Musculoskeletal disorder; Cumulative workload; REBA; Assembly line; ENTIRE BODY ASSESSMENT; MUSCULOSKELETAL DISORDERS; BALANCING PROBLEM; MUSCLE FATIGUE; RISK; POSTURES; DESIGN; PAIN,10.1016/j.apergo.2016.01.011,0003-6870,2016
56,"Evaluating the effect of learning rate, batch size and assignment strategies on the production performance","Task assignment methods usually rely on the fixed mean processing times of operations with the intent of balancing the workload assigned to operators or workstations in the production line. This assignment usually neglects the variability of operator processing times. In this work, a methodology in which the time in which an operator executes a task is variable, accordingly to a learning model, is proposed. It is exploited in order to assess the real-time task assignment adopted in the actual factory. The results show that, by including a learning model, it is possible to predict more accurately the long-term cycle time of the process. Standard scheduling strategies (first operator available, the operator closest to the machine) were compared with learning-oriented strategies (the most skilled, the least skilled). Through the case study, the paper addresses the problem of using a dynamic task assignment.an illustration.","Bruno, G; Antonelli, D; Stadnicka, D",Workflow balancing; computer simulation; assembly; value flow improvement; LINE WORKER ASSIGNMENT; ASSEMBLY-LINE; MODEL,10.1080/21681015.2021.1883133,2168-1015,2021
57,THE NASA-TLX APPROACH TO UNDERSTAND WORKERS WORKLOAD IN HUMAN-ROBOT COLLABORATION,"Human-robot collaboration (HRC) is becoming increasingly widespread in today's production systems, as it can contribute to achieving more efficient and flexible production systems. Given the growing importance of HRC, this paper addresses the significance of human workload in HRC. To study workers workload an experiment was conducted using NASA-TLX questionnaire. The experiment featured two scenarios involving the same operation but varying robot motion parameters. Recognizing that individual differences contribute to success of collaboration, the experiment considered worker utilization in relation to robot motion parameters. To ensure the credibility of the experimental results, the robot motion parameters were adjusted to each individual in order to achieve the same conditions and utilization at all participants. Results revealed that worker utilization, in conjunction with robot motion parameters significantly influenced worker workload. The results highlight the need for personalized guidelines in collaborative workplaces that emphasize individual differences in abilities, skills and personalities to increase overall well-being and robot and worker productivity. (Received in May 2023, accepted in September 2023. This paper was with the authors 2 months for 2 revisions.)","Javernik, A; Buchmeister, A; Ojstersek, R",Human-Robot Collaboration; Industry 5.0; NASA-TLX; Safety Awareness; Worker Well-Being; Worker Workload; SIMULATION,10.2507/IJSIMM22-4-658,1726-4529,2023
58,An integrated bi-objective U-shaped assembly line balancing and parts feeding problem: optimization model and exact solution method,"In this study, an integrated bi-objective objective U-shaped assembly line balancing and parts feeding problem is explored by considering the heterogeneity inherent of workers. An optimization model is developed to formulate the addressed problem. Since the problem includes two different objectives, namely the minimizing the operational cost and maximum workload imbalance, the Pareto-optimal solutions are found by employing the second version of the augmented epsilon-constrained (AUGMECON2) method. To investigate the impact of qualification of workers on the system performance, a set of scenarios is constructed based on the worker skill levels. Each scenario is determined based on the nature of the worker pool in which workers are assigned to the stations. The optimization model and implemented method are validated through data taken from water-meter and elevator producers. The computational results reveal that the scenarios have a great impact on system performance. In particular, it is revealed that as the skill levels of workers increases, the quality of the Pareto-optimal solutions increase by up to 30% in terms of the comparison metrics. Therefore, an order release mechanism and worker training activities are suggested to be performed to enhance system performance.","Yilmaz, ÖF",U-shaped assembly line balancing problem; Parts feeding problem; Bi-objective optimization model; AUGMECON2 method; EPSILON-CONSTRAINT METHOD; MATHEMATICAL-MODEL; GENETIC ALGORITHM; DESIGN; SYSTEMS,10.1007/s10472-020-09718-y,1012-2443,2022
59,Multi-objective complex product assembly scheduling problem considering parallel team and worker skills,"The flow shop scheduling problem (FSP) is a classic shop scheduling problem with a strong engineering background. As an extension of FSP, the hybrid flow shop scheduling problem (HFSP) involves parallel machine scheduling, and the worker assignment problem on assembly lines (WAPAL) involves worker allocation. Parallel machine scheduling and multi-skilled and multilevel worker allocation are both involved in the actual assembly lines of complex products, but few studies have investigated them simultaneously. This work studies a complex product assembly line scheduling problem considering multi-skilled worker assignment and parallel team scheduling and takes the maximum completion time and the imbalance degree of team workload as the optimization objective. An integer programming model is proposed, and a hybrid coding method considers the worker assignment and task order. Three improved strategies based on a multiple objective evolutionary algorithm (MOEA) are proposed in the local search. Finally, 20 test instances are generated based on actual enterprise labor data, and the results based on the three strategies are compared with six MOEAs. The results show that the three strategies are superior in terms of the quality and distribution of solutions. The inverted generational distance (IGD) index value is increased by 49.97%, 47.89%, 47.08% respectively and the hypervolume (HV) index value is increased by 39.76%, 38.19%, 38.15% respectively.","Liu, ZW; Liu, JH; Zhuang, CB; Wan, F",Flow shop scheduling problem; Assembly line of complex products; Multiple objective evolutionary algorithm; Multi-skilled and multilevel worker; HYBRID FLOWSHOP; ALGORITHM; OPTIMIZATION; ASSIGNMENT; 2-STAGE; MODEL,10.1016/j.jmsy.2022.05.003,0278-6125,2022
60,Assembly line balancing and activity scheduling for customised products manufacturing,"Nowadays, end customers require personalized products to match their specific needs. Thus, production systems must be extremely flexible. Companies typically exploit assembly lines to manufacture produces in great volumes. The development of assembly lines distinguished by mixed or multi models increases their flexibility concerning the number of product variants able to be manufactured. However, few scientific contributions deal with customizable products, i.e., produces which can be designed and ordered requiring or not a large set of available accessories. This manuscript proposes an original two-step procedure to deal with the multi-manned assembly lines for customized product manufacturing. The first step of the procedure groups the accessories together in clusters according to a specific similarity index. The accessories belonging to a cluster are typically requested together by customers and necessitate a significant mounting time. Thus, this procedure aims to split accessories belonging to the same cluster to different assembly operators avoiding their overloads. The second procedure step consists of an innovative optimization model which defines tasks and accessory assignment to operators. Furthermore, the developed model defines the activity time schedule in compliance with the task precedencies maximizing the operator workload balance. An industrial case study is adopted to test and validate the proposed procedure. The obtained results suggest superior balancing of such assembly lines, with an average worker utilization rate greater than 90%. Furthermore, in the worst case scenario in terms of customer accessories requirement, just 4 line operators out of 16 are distinguished by a maximum workload greater than the cycle time.","Pilati, F; Lelli, G; Regattieri, A; Ferrari, E",Assembly line balancing; Activity scheduling; Customized production; Product accessory; Clustering; MODEL; METHODOLOGY; DESIGN; OPTIMIZATION; REDUCTION; COMPANY; SYSTEMS; TIME,10.1007/s00170-022-08953-3,0268-3768,2022
