,Publication Type,Article Title,Authors,Source Title,Volume,Start Page,End Page,Publication Year,Publication Date,Conference Title,ISSN,DOI,DOI Link,Author Keywords,Abstract,Issue
132,JOUR,Cognitive load theory and individual differences,"['Sweller, John']",Learning and Individual Differences,110,102423,,2024,2024/02/01/,,1041-6080,https://doi.org/10.1016/j.lindif.2024.102423,['https://www.sciencedirect.com/science/article/pii/S1041608024000165'],"['Cognitive load theory', 'Element interactivity', 'Individual differences through learning']","Cognitive load theory is an instructional theory based on the following assumptions. (1) Information can be divided into biologically primary information that we have evolved to process and acquire unconsciously, and secondary information that requires conscious effort. (2) Secondary information is either acquired during problem solving or from other people. It is processed by a limited capacity, limited duration working memory before being stored for subsequent use in long-term memory. Once stored, information may be transferred back to working memory to govern action relevant to the extant environment. Working memory has no known capacity or duration limits when dealing with information transferred back from long-term memory. (3) The major consequence that flows from instruction is the accumulation of information in long-term memory. (4) That differential knowledge results in individual differences in expertise and provides a major source, possibly the only source, of modifiable cognitive differences between learners. (5) Learners with differential knowledge held in long-term memory require different instructional procedures leading to the expertise reversal effects of cognitive load theory. Educational relevance Cognitive load theory is an instructional theory based on our knowledge of evolutionary psychology leading to human cognitive architecture. That architecture specifies individual differences due to either biological or environmental factors. Information held in long-term memory provides the major source of environmentally mediated individual differences. The theory uses randomised, controlled trials to determine instructional effectiveness.",
133,JOUR,Measuring workload effects of augmented reality head-up displays using detection response task,"['Maag, Christian', 'Schömig, Nadja', 'Naujoks, Frederik', 'Karl, Ines', 'Keinath, Andreas', 'Neukum, Alexandra']",Transportation Research Part F: Traffic Psychology and Behaviour,92,201,219,2023,2023/01/01/,,1369-8478,https://doi.org/10.1016/j.trf.2022.11.010,['https://www.sciencedirect.com/science/article/pii/S1369847822002765'],"['(Head-up display', 'Augmented reality', 'Workload measurement', 'Distraction', 'Human-machine interface)']","Augmented reality (AR) technology could establish direct relationships between displayed information and objects in the real driving environment, e.g. by highlighting relevant objects in the traffic environment. However, it is unclear how these potential benefits of augmentation affect drivers’ distraction from the driving task and their level of workload. Since gaze detection cannot separate glances at AR-elements from glances at the driving scene, new evaluation criteria are needed for measuring the distraction potential of AR-elements. The paper evaluates a methodology based on the Detection Response Task (DRT) for measuring the distraction and workload effects of three different display technologies: Head-Down Display (HDD), Head-Up Display (HUD), and Augmented-Reality HUD (AR-HUD). The DRT measures cognitive and visual workload based on a recognition-response task using the two parameters, reaction time and misses. Two experimental studies using driving simulation (N = 24) and production vehicles in real traffic (N = 24) are reported. As use cases, the subjects had to navigate through an urban traffic environment and pass different intersections. During that they were assisted by navigation systems based on the above mentioned display technologies. The resulting workload is compared to a baseline drive without the need to navigate and a reference drive in which the subjects had to work on a secondary task while driving. The results of the DRT are compared with subjective measures, gaze behaviour, and driving performance. In addition, drivers’ preference and user experience regarding the three display technologies and their feedback concerning the DRT method were assessed. The results of both experimental studies show that drivers prefer the AR-HUD display technology. Reasons are mainly the hedonic aspects of the AR-HUD such as the novelty of the technology. Nevertheless, drivers report that AR-elements could obstruct important areas of the road and distract more from the driving task than HUDs. The subjective and visual-cognitive workload measured by the DRT do not differ between the HMI conditions. An analysis for each type of intersection yields most misses for the AR-HUD condition and fewest misses in the HDD condition. However, visual workload (i.e. eyes-off-road time) is higher for HDD compared to (AR-)HUD. Feedback by participants reveals that the DRT as a method for workload assessment is well accepted. All in all, the two DRT measures, misses and reaction time, allow a valid and objective workload measurement and could serve as a supplement or substitute for gaze analysis. The discussion gives indications for the measurement of workload effects caused by AR-HUD using DRT.",
134,JOUR,Beyond the lab: Feasibility of cognitive neuroscience data collection during a speleological expedition,"['Paas, Anita', 'Jourde, Hugo R.', 'Brignol, Arnaud', 'Savard, Marie-Anick', 'Eyqvelle, Zseyvfin', 'Bassetto, Samuel', 'Beltrame, Giovanni', 'Coffey, Emily B.J.']",Journal of Environmental Psychology,99,102443,,2024,2024/11/01/,,0272-4944,https://doi.org/10.1016/j.jenvp.2024.102443,['https://www.sciencedirect.com/science/article/pii/S0272494424002160'],"['Naturalistic paradigms', 'Cognitive science', 'Cognitive neuroscience', 'Interdisciplinary', 'Neuropsychology', 'Speleology', 'Spaceflight']","In human cognitive neuroscience and neuropsychology studies, laboratory-based research tasks have been important to establish principles of brain function and its relationship to behaviour; however, they differ greatly from real-life experiences. Several elements of real-life situations that impact human performance, such as stressors, are difficult or impossible to replicate in the laboratory. Expeditions offer unique possibilities for studying human cognition in complex environments that can transfer to other situations with similar features. For example, as caves share several of the physical and psychological challenges of safety-critical environments such as spaceflight, underground expeditions have been developed as an analogue for astronaut training purposes, suggesting that they might also be suitable for studying aspects of behaviour and cognition that cannot be fully examined under laboratory conditions. While a large range of topics and tools have been proposed for application in such environments, few have been used in the field. Methods and procedures for maximizing the robustness and scientific value of expedition research designs must first be developed and validated. We tested the feasibility of collecting human physiological, cognitive, and subjective experience data concerning brain state, sleep, cognitive workload, and fatigue, during a speleological expedition in a remote region. We document our approaches and challenges experienced, and provide recommendations and suggestions to aid future work. The data support the idea that cave expeditions are relevant naturalistic paradigms that offer unique possibilities for cognitive neuroscience to complement laboratory work and help improve human performance and safety in operational environments.",
135,JOUR,The problem of assigning rest times to reduce physical ergonomic risk at assembly lines,"['Tiacci, Lorenzo']",IFAC-PapersOnLine,51,692,697,2018,2018/01/01/,16th IFAC Symposium on Information Control Problems in Manufacturing INCOM 2018,2405-8963,https://doi.org/10.1016/j.ifacol.2018.08.399,['https://www.sciencedirect.com/science/article/pii/S2405896318315258'],"['Ergonomic Aspects of Industrial Technologies', 'Discrete-event Simulation', 'Line Design', 'Balancing']","Line balancing and job rotation have been recently found to be effective methods to reduce workers’ ergonomic risks since the design/planning phase of assembly lines, and at the same time to limit performances deterioration and/or costs increments. As far as we know, there are no papers in the literature that deals with the problem of assigning rest times to workers in assembly lines with the aim to reduce their ergonomic workload. In the paper the problem of assigning rest times to workers in assembly lines is considered (Rest Time Assignment Problem). We show how rest times assignment affects ergonomic risk of workers in mixed-model assembly lines when this is evaluated through the Occupational Repetitive Action index (OCRA), and suggest and approach to simultaneously find solutions for the Assembly Line Balancing Problem and the Rest Time Assignment Problem.",11
136,JOUR,How good are virtual hands? Influences of input modality on motor tasks in virtual reality,"['Hameed, Asim', 'Möller, Sebastian', 'Perkis, Andrew']",Journal of Environmental Psychology,92,102137,,2023,2023/12/01/,,0272-4944,https://doi.org/10.1016/j.jenvp.2023.102137,['https://www.sciencedirect.com/science/article/pii/S0272494423001858'],"['Virtual reality', 'Input modalities', 'Gesture interaction', 'User experience', 'Performance metrics', 'Usability', 'Presence', 'Perceived realism']","Hand-tracking enables controller-free interaction with virtual environments, which can make virtual reality (VR) experiences more natural and immersive. As naturalness hinges on both technological and human influence factors, fine-tuning the former while assessing the latter can be used to increase overall experience. This paper investigates a reach-grab-place task inside VR using two input modalities (hand-tracking vs. handheld-controller). Subjects (N = 33) compared the two input methods available on a consumer grade VR headset for their effects on objective user performance and subjective experience of the perceived sense of presence, cognitive workload, and ease-of-use. We found that virtual hands (with hand-tracking) did not influence the subjective feelings of perceived presence, naturalness, & engagement; neither did it inspire the overall ease-of-use while performing the task. In fact, subjects completed the task faster and felt a lower mental workload and higher overall usability with handheld-controllers. The result found that in this particular case, hand-tracking did not improve the psychological and emotional determinants of immersive VR experiences. The study helps expand on our understanding of the two input modalities in terms of their viability for naturalistic experiences in VR akin to real-world scenarios.",
137,JOUR,Environmental cognitive load and spatial anxiety: What matters in navigation?,"['Nori, Raffaella', 'Zucchelli, Micaela Maria', 'Palmiero, Massimiliano', 'Piccardi, Laura']",Journal of Environmental Psychology,88,102032,,2023,2023/06/01/,,0272-4944,https://doi.org/10.1016/j.jenvp.2023.102032,['https://www.sciencedirect.com/science/article/pii/S0272494423000804'],"['Spatial anxiety', 'State-Trait Anxiety', 'Cognitive load', 'Human navigation', 'Virtual reality', 'Egocentric references', 'Allocentric references']","Spatial navigation is essential for orienting oneself in familiar and novel environments. Several internal factors may affect spatial navigation, such as anxiety. This study explored the mediating role of anxiety (spatial, trait and state) in the relationship between cognitive load and spatial navigation (egocentric and allocentric) using parallel mediation models. A sample of 125 participants (60 females) completed self-reported measures of anxiety (spatial and state-trait) during free navigation in a virtual reality square with or without environmental cognitive load. After the virtual learning experience, three spatial tasks evaluating landmark recognition and the use of egocentric and allocentric coordinates were administered. Results showed that spatial anxiety partially mediated the relationship between environmental load and spatial skills, specifically for egocentric and allocentric tasks. In addition, trait anxiety mediated the relationship between environmental load and allocentric performance. Overall, these findings update the Environmental Knowledge Model (EKM) that explains human navigation in terms of individual and environmental factors. The study results suggest that navigation could be facilitated by reducing anxiety and the spatial complexity of the environment.",
138,JOUR,Effect of information load and cognitive style on cognitive load of visualized dashboards for construction-related activities,"['Ke, Jinjing', 'Liao, Pinchao', 'Li, Jie', 'Luo, Xiaowei']",Automation in Construction,154,105029,,2023,2023/10/01/,,0926-5805,https://doi.org/10.1016/j.autcon.2023.105029,['https://www.sciencedirect.com/science/article/pii/S0926580523002893'],"['Visualized dashboard', 'Information load', 'Cognitive load', 'Eye tracking', 'Cognitive style']","A well-designed visualized dashboard could provide intuitive information to construction project managers for effective decision-making. However, the impact of information load of dashboards on cognitive load has rarely been investigated. The roles of user cognitive styles were also ignored. This study examined the effect of dashboard information load and user cognitive style on cognitive load when using dashboards in the construction industry. We designed a visual search experiment with five information load levels. Fifty-six participants, divided into field-dependent (FD) and field-independent (FI) groups, participated in the experiment. The results showed that the FI group had a lower cognitive load and was more efficient than the FD group. The effect of information load on cognitive load followed a piecewise linear correlation with the two prominent knots. The findings underscore the importance of assessing the information load and providing psychological underpinnings for cognitive-fit dashboard design for smart construction management.",
139,JOUR,Psychophysiological evaluation of seafarers to improve training in maritime virtual simulator,"['Liu, Yisi', 'Lan, Zirui', 'Cui, Jian', 'Krishnan, Gopala', 'Sourina, Olga', 'Konovessis, Dimitrios', 'Ang, Hock Eng', 'Mueller-Wittig, Wolfgang']",Advanced Engineering Informatics,44,101048,,2020,2020/04/01/,,1474-0346,https://doi.org/10.1016/j.aei.2020.101048,['https://www.sciencedirect.com/science/article/pii/S1474034620300173'],"['Electroencephalogram', 'Psychophysiological evaluation', 'Human factors', 'Maritime simulator', 'Assessment', 'Maritime training']","Over the years, safety in maritime industries has been reinforced by many state-of-the-art technologies. However, the accident rate hasn’t dropped significantly with the advanced technology onboard. The main cause of this phenomenon is human errors which drive researchers to study human factors in the maritime domain. One of the key factors that contribute to human performance is their mental states such as cognitive workload and stress. In this paper, we propose and implement an Electroencephalogram (EEG)-based psychophysiological evaluation system to be used in maritime virtual simulators for monitoring, training and assessing the seafarers. The system includes an EEG processing part, visualization part, and an evaluation part. By using the processing part of the system, different brain states including cognitive workload and stress can be identified from the raw EEG data recorded during maritime exercises in the simulator. By using the visualization part, the identified brain states, raw EEG signals, and videos recorded during the maritime exercises can be synchronized and displayed together. By using the evaluation part of the system, an indicative recommendation on “pass”, “retrain”, or “fail” of the seafarers’ performance can be obtained based on the EEG-based cognitive workload and stress recognition. Detailed analysis of the demanding events in the maritime tasks is provided by the system for each seafarer that could be used to improve their training. A case study is presented using the proposed system. EEG data from 4 pilots were recorded when they were performing maritime tasks in the simulator. The data are processed and evaluated. The results show that one pilot gets a “pass” recommendation, one pilot gets a “retrain” recommendation, and the other two get “fail” results regarding their performance in the simulator.",
140,JOUR,Does augmented reality help in industrial training? A comprehensive evaluation based on natural human behavior and knowledge retention,"['Yang, Xiaonan', 'Mao, Wanting', 'Hu, Yaoguang', 'Wang, Jingfei', 'Wan, Xuanzhu', 'Fang, Haonan']",International Journal of Industrial Ergonomics,98,103516,,2023,2023/11/01/,,0169-8141,https://doi.org/10.1016/j.ergon.2023.103516,['https://www.sciencedirect.com/science/article/pii/S0169814123001087'],"['Augmented reality', 'Assembly training', 'Knowledge retention', 'Workload', 'Natural human behavior']","The complexity and diversity of products significantly increases the difficulty of training workers in modern industries. AR training, as a combination of industrial digital development and new interactive means, has attracted increasingly more attention. However, in human factor and education, research regarding AR based training is still in its infancy. To understand how AR could help industrial training from a human perspective, we evaluate a HoloLens-based AR training method for an assembly task on natural human behavior and the training effectiveness. Forty-four participants were equally divided into AR and ordinary training groups with the equivalent instructional materials, which included text information and 3D models. Results show that although AR did not significantly affect the overall workload and system usability assessment (SUS) recorded, several experimental values increased significantly compared with the ordinary training method, including task completion time, time required to interpret text-based information, amount of attention switching, and training effectiveness. Consequently, the use of AR did not result in a completion time and workload reduction; however, we found that training with the AR system was more effective than ordinary training in increasing the knowledge retention of participants without increasing their overall workload, especially for the month-term memory. Nonetheless, a longer time was required by the users to familiarize themselves with the AR environment and read the text information. The findings of this work could contribute to the design of future AR training systems in industry considering natural human behavior and enhance training effectiveness.",
141,JOUR,Emotional and cognitive influences in air traffic controller tasks: An investigation using a virtual environment?,"['Truschzinski, Martina', 'Betella, Alberto', 'Brunnett, Guido', 'Verschure, Paul F.M.J.']",Applied Ergonomics,69,1,9,2018,2018/05/01/,,0003-6870,https://doi.org/10.1016/j.apergo.2017.12.019,['https://www.sciencedirect.com/science/article/pii/S0003687017302855'],"['Air traffic control', 'Personality', 'Workload', 'Mood', 'Virtual reality']","Air traffic controllers are required to perform complex tasks which require attention and high precision. This study investigates how the difficulty of such tasks influences emotional states, cognitive workload and task performance. We use quantitative and qualitative measurements, including the recording of pupil dilation and changes in affect using questionnaires. Participants were required to perform a number of air traffic control tasks using the immersive human accessible Virtual Reality space in the ""eXperience Induction Machine"". Based on the data collected, we developed and validated a model which integrates personality, workload and affective theories. Our results indicate that the difficulty of an air traffic control task has a direct influence on cognitive workload as well as on the self-reported mood; whereas both mood and workload seem to change independently. In addition, we show that personality, in particular neuroticism, affects both mood and performance of the participants.",
142,JOUR,Impact of mental arithmetic task on the electrical activity of the human brain,"['Azizi, Tahmineh']",Neuroscience Informatics,4,100162,,2024,2024/06/01/,,2772-5286,https://doi.org/10.1016/j.neuri.2024.100162,['https://www.sciencedirect.com/science/article/pii/S2772528624000074'],"['Electroencephalogram (EEG)', 'Mental arithmetic task', 'Spectral entropy', 'Wavelet based analysis']","Cognitive neuroscience investigates the intricate connections between brain function and mental processing to understand the cognitive architecture. Exploring the human brain, the epicenter of cognitive activity, offers valuable insights into underlying cognitive processes. To monitor brain states corresponding to various mental activities, appropriate measurement tools are essential. Electroencephalogram (EEG) signals serve as a valuable tool for recording patterns and changes in electrical brain activities. Leveraging non-linear signal processing techniques holds promise for advancing our understanding of brain activities during cognitive tasks. In this study, we analyze the electrical activity of the brain using EEG data collected from subjects engaged in a cognitive workload task. Employing wavelet-based analysis, we capture changes in the structure of EEG signals before and during a mental arithmetic task. Additionally, spectral analysis is conducted to discern alterations in the distribution of spectral contents of EEG signals. Our findings underscore the efficacy of wavelet-based analysis and spectral entropy in quantifying the time-varying and non-stationary nature of EEG recordings, offering effective frameworks for distinguishing between different cognitive activities. Consequently, these methods afford deeper insights into the cognitive architecture by tracking changes in the distribution of the time-varying spectrum.",2
143,JOUR,Assignment of Customer-Specific Orders to Plants with Mixed-Model Assembly Lines in Global Production Networks,"['Buergin, Jens', 'Blaettchen, Philippe', 'Qu, Chuanqi', 'Lanza, Gisela']",Procedia CIRP,50,330,335,2016,2016/01/01/,26th CIRP Design Conference,2212-8271,https://doi.org/10.1016/j.procir.2016.04.182,['https://www.sciencedirect.com/science/article/pii/S2212827116304231'],"['Global Production Networks', 'Order Planning', 'Hierarchical Planning', 'Mixed-Model Assembly Lines']","Build-to-order series production is gaining increasing importance as markets demand customer-specific product variants. Orders have to be assigned to plants and periods in global production networks and then to lines and cycles. Consequently, respective workloads as well as supplied materials have to be balanced due to limitations in resource capacities. As first step planning defines the solution space for second step planning, this paper introduces a mathematical model for order assignments to plants and periods anticipating assignments to lines and cycles. Given that orders are not fully specified for first step planning, the approach includes provisions for dealing with uncertainty.",
144,JOUR,"Neurophysiological, muscular, and perceptual adaptations of exoskeleton use over days during overhead work with competing cognitive demands","['Tyagi, Oshin', 'Rana Mukherjee, Tiash', 'Mehta, Ranjana K.']",Applied Ergonomics,113,104097,,2023,2023/11/01/,,0003-6870,https://doi.org/10.1016/j.apergo.2023.104097,['https://www.sciencedirect.com/science/article/pii/S0003687023001357'],"['Passive shoulder exoskeleton', 'Human-exoskeleton interaction', 'Brain activity', 'Motor adaptation', 'Neuroergonomics']","This study captured neurophysiological, muscular, and perceptual adaptations to shoulder exoskeleton use during overhead work with competing physical-cognitive demands. Twenty-four males and females, randomly divided into control and exoskeleton groups, performed an overhead reaching and pointing task over three days without (single task) and with (dual task) a working memory task. Task performance, electromyography (EMG), neural activity, heart rate, and subjective responses were collected. While task completion time reduced for both groups at the same rate over days, EMG activity of shoulder muscles was lower for the exoskeleton group for both tasks, specifically for females during the dual task. Dual task reduced the physiological benefits of exoskeletons and neuromotor strategies to adapt to the dual task demands differed between the groups. Neuromuscular benefits of exoskeleton use were immediately realized irrespective of cognitive demand, however the perceptual, physiological, and neural adaptations with exoskeleton use were task- and sex-specific.",
145,JOUR,A multi-objective software tool for manual assembly line balancing using a genetic algorithm,"['Dalle Mura, M.', 'Dini, G.']",CIRP Journal of Manufacturing Science and Technology,19,72,83,2017,2017/11/01/,,1755-5817,https://doi.org/10.1016/j.cirpj.2017.06.002,['https://www.sciencedirect.com/science/article/pii/S1755581717300263'],"['Assembly line balancing', 'Genetic algorithm', 'Multi-objective optimization']","This paper proposes a new genetic algorithm approach for solving a multi-objective assembly line balancing problem. The objectives concern the minimization of the number of workstations and the workload variance, typically faced by most systems presented in literature, but also the minimization of three further aspects, not simultaneously treated in literature and very important in manual assembly lines: the number of skilled workers among workstations, the number of assembly equipment (e.g.: automatic screwdrivers, pressing machines, etc.) and the number of assembly direction changes along the sequence. To demonstrate the effectiveness of the proposed method in finding optimized assembly sequences, a classical case study taken from the literature is finally discussed.",
146,JOUR,Dynamic assessment method for human factor risk of manned deep submergence operation system based on SPAR-H and SD,"['Qiao, Yidan', 'Zhang, Xian', 'Wang, Hanyu', 'Chen, Dengkai']",Reliability Engineering & System Safety,243,109865,,2024,2024/03/01/,,0951-8320,https://doi.org/10.1016/j.ress.2023.109865,['https://www.sciencedirect.com/science/article/pii/S0951832023007792'],"['Dynamic risk assessment', 'Human reliability analysis', 'System dynamics', 'Manned deep submergence', 'SPAR-H']","Due to the complex and changeable contextual environment, the human factor risk of the manned deep submergence operating system shows dynamic characteristics. Compared with the traditional static human reliability analysis (HRA) method, dynamic HRA method can better simulate the dynamic characteristics and the nonlinear information feedback mechanism of the operating system. This paper proposed a dynamic risk assessment model based on System Dynamics and SPAR-H. The cognitive load was introduced into the Performance Shaping Factor (PSF) network to make it more suitable for the task and environment of manned deep submergence. In addition, in order to measure the compensation effect of PSF on the work efficiency of oceanauts, eight compensation functions were constructed between PSFs and work efficiency. Finally, key risk tasks and sensitive PSFs were identified. Taking the 12 h manned deep diving mission as an example, the dynamic quantification of human error probability and work efficiency of oceanauts was simulated. The results indicate that the dynamic simulation results of the constructed risk assessment model are consistent with the actual situation, and can effectively predict the changes of dynamic risk.",
147,JOUR,Optimizing ergonomics in assembly lines: A multi objective genetic algorithm,"['Dalle Mura, Michela', 'Dini, Gino']",CIRP Journal of Manufacturing Science and Technology,27,31,45,2019,2019/11/01/,,1755-5817,https://doi.org/10.1016/j.cirpj.2019.08.004,['https://www.sciencedirect.com/science/article/pii/S1755581719300367'],"['Assembly line balancing', 'Ergonomics', 'Modeling and simulation', 'Genetic algorithm', 'Multi-objective optimization']","Ergonomics is an essential aspect to deal with while solving problems related to manual assembly, for the effects it may have on both productivity and human factor related issues. The frequent execution of repetitive movements and the handling of heavy components are among the main factors that characterize the assembly process, potentially resulting in worker’s overload. An appropriate distribution of assembly operations and, therefore of relative workloads, on a production line can improve ergonomic aspects, according to the worker's anthropometric and physiological characteristics. In this paper, a multi-objective genetic algorithm for solving the assembly line balancing problem taking into account ergonomics based on energy expenditure is proposed. The novelty of the contribution relies in the assignment of assembly tasks to workstations considering a set of human operators actually available in a company. The assignment of workers is based on their physical capabilities and limits, evaluated according to their anthropometric and physiological characteristics. The objectives of the problem, besides the minimization of the number of workstations, are related to the human factor; in particular, the distribution of assembly tasks to workstations according to worker technical skills and to worker physical capabilities are optimized. A practical case study taken from the industrial reality is finally tested and discussed.",
148,JOUR,Towards Human Digital Twins to enhance workers' safety and production system resilience,"['Berti, Nicola', 'Finco, Serena', 'Guidolin, Mattia', 'Battini, Daria']",IFAC-PapersOnLine,56,11062,11067,2023,2023/01/01/,22nd IFAC World Congress,2405-8963,https://doi.org/10.1016/j.ifacol.2023.10.809,['https://www.sciencedirect.com/science/article/pii/S2405896323011862'],"['Human Digital Twin', 'Operator 4.0', 'Smart manufacturing', 'Real-time monitoring and control']","Industry 5.0 complements Industry 4.0 aiming to create a sustainable, human-centered, and resilient industry. In this context, enabling technologies, such as artificial intelligence, internet of everything, and digital twins, can be used to monitor and enhance the workforce to improve the efficiency and resilience of the entire manufacturing system. By developing socio-technical digital twin architectures, companies will be able in the short future to monitor machines, products, and workers' real-time states as a whole ecosystem. In this study, the authors focus their attention on human digital twin solutions for manufacturing systems, enabling dynamic scheduling of jobs by minimizing the makespan and considering a set of workers’ parameters that are continuously monitored through an ergonomic digital platform. This paper proposes the architecture of a real-time monitoring system and how it can help detect awkward postural behavior or unbalanced workload among workers, according to their individual features. At the same time, the system interacts with the human digital twin system which proposes a rescheduling of the jobs whenever it is necessary. Finally, a discussion on the practical limitations of human digital twin implementations in industrial environments is provided.",2
149,JOUR,Integrated lean and ergonomic assessment for the planning of human-centered factories,"['Bittencourt, V.', 'Buchbinder, M.', 'Saakes, D.', 'Thiede, S.']",Procedia CIRP,120,344,349,2023,2023/01/01/,56th CIRP International Conference on Manufacturing Systems 2023,2212-8271,https://doi.org/10.1016/j.procir.2023.08.061,['https://www.sciencedirect.com/science/article/pii/S2212827123007321'],"['human-centered factory', 'smart manufacturing', 'lean manufacturing', 'ergonomics', 'value stream mapping']","This research proposes an approach for evaluating human-centered work processes by combining Value Stream Mapping and ergonomic assessment of physical workload. Value Stream Mapping is a method used to create a visual representation of the flow of materials and information required to deliver a product, and aids in identifying potential bottlenecks and other constraints. However, it does not consider the effect of physical ergonomics on process execution and planning. To bridge this gap, the Ergonomic Assessment Worksheet screening tool is used to gain insight into unfavourable physical workload situations. The proposed approach follows five main steps: (i) scope definition, (ii) Value Stream Map, (iii) time study, (iv) ergonomic assessment, (v) combined analysis. A case study is conducted at a bicycle manufacturer to demonstrate the effectiveness of the approach in quantifying the impact of physical ergonomics on process performance. The method enables a systematic analysis of process chains to identify critical steps from both lean and ergonomic perspectives, emphasizing the importance of worker's physical well-being and the ability of ergonomic assessment methods to enhance Value Stream Maps.",
150,JOUR,Benchmarking human-robot collaborative assembly tasks,"['Duarte, Laura', 'Neves, Miguel', 'Neto, Pedro']",Results in Engineering,22,102042,,2024,2024/06/01/,,2590-1230,https://doi.org/10.1016/j.rineng.2024.102042,['https://www.sciencedirect.com/science/article/pii/S2590123024002950'],"['Assembly', 'Manufacturing', 'Collaborative robotics', 'Human-robot interaction']","Manufacturing assembly tasks can vary in complexity and level of automation. Yet, achieving full automation can be challenging and inefficient, particularly due to the complexity of certain assembly operations. Human-robot collaborative work, leveraging the strengths of human labor alongside the capabilities of robots, can be a solution for enhancing efficiency. This paper introduces the CT benchmark, a benchmark and model set designed to facilitate the testing and evaluation of human-robot collaborative assembly scenarios. It was designed to compare manual and automatic processes using metrics such as the assembly time and human workload. The components of the model set can be assembled through the most common assembly tasks, each with varying levels of difficulty. The CT benchmark was designed with a focus on its applicability in human-robot collaborative environments, with the aim of ensuring the reproducibility and replicability of experiments. Experiments were carried out to assess assembly performance in three different setups (manual, automatic and collaborative), measuring metrics related to the assembly time and the workload on human operators. The results suggest that the collaborative approach takes longer than the fully manual assembly, with an increase of 70.8%. However, users reported a lower overall workload, as well as reduced mental demand, physical demand, and effort according to the NASA-TLX questionnaire.",
151,JOUR,Balancing mixed-model assembly systems in the footwear industry with a variable neighbourhood descent method,"['Sadeghi, Parisa', 'Rebelo, Rui Diogo', 'Ferreira, José Soeiro']",Computers & Industrial Engineering,121,161,176,2018,2018/07/01/,,0360-8352,https://doi.org/10.1016/j.cie.2018.05.020,['https://www.sciencedirect.com/science/article/pii/S0360835218302213'],"['Mixed-model assembly line balancing', 'Footwear industry', 'Variable neighbourhood descent', 'Ranked positional weighted method', 'Simulation']","This paper addresses new Mixed-model Assembly Line Balancing Problems (MALBP) in a real industrial context, the stitching systems of a footwear company. The work is part of large ongoing projects with this industry, and the main purposes are minimising the number of required workstations and smoothing the operators’ workload. The company has invested in new flexible automated assembly systems, which accommodate dozens of workstations and many moving boxes. Footwear components are inside boxes (with various quantities) which can move from the warehouses to a convenient workstation or between any workstations (in any order). This is a significant and distinct feature of the MALBP, together with the fact that the assignment of different skilled operators and machines is achieved simultaneously. An optimisation model is developed, in part to facilitate the understanding of the situation and to solve small-size instances. Due to the complexity of the problems, we had to devise an approximate method, based on the Variable Neighbourhood Descent (VND) metaheuristic and integrating an adaptation of the Ranked Positional Weighted (RPW) method. The adapted RPW method is used to create initial feasible solutions, while preassigning special operators and machines. After choosing good initial solutions, VND is applied to improve their quality. The new contributed method, named as RPW-VNDbal, is tested with medium and large instances, in two distinct stitching systems. A Lower Bound of the objective function and Simulation contribute to evaluate the solutions and their practicability. The results implemented by the project team, show that the RPW-VNDbal method is fast enough and offers better solutions than those implemented by the experienced operation managers of the company.",
152,JOUR,Freedom of speech or freedom of reach? Strategies for mitigating malicious content in social networks,"['Chakraborty, Saurav', 'Goyal, Sandeep', 'Rieder, Annamina', 'Onuchowska, Agnieszka', 'Berndt, Donald J.']",Decision Support Systems,182,114235,,2024,2024/07/01/,,0167-9236,https://doi.org/10.1016/j.dss.2024.114235,['https://www.sciencedirect.com/science/article/pii/S016792362400068X'],"['Malicious content', 'Content propagation', 'Network intervention', 'Feed management', 'Agent-based model', 'Preferential attachment', 'Cognitive load']","Malicious content threatens the integrity and quality of content in social networks. Research and practice have experimented with network intervention strategies to curb malicious content propagation. These strategies lack efficiency, target malicious content propagators, and abridge freedom of speech. We draw upon the preferential attachment literature and cognitive load theory to employ the mechanisms of network formation, information sharing, and limited human cognitive capacities to propose an alternative feed management strategy—Preferentiality Dampened Feed Management. We compare and contrast this strategy against other established strategies using an agent-based model that utilizes empirical data from Twitter and findings from the prior literature. The results from our two experiments suggest that our proposed strategy is more effective in curbing malicious content propagation than other established strategies. Our work has important implications for the network interventions literature and practical implications for platform providers, social media users, and society.",
